"lake","year","DOY","DOC"
"T",2024,220,8.294
"L",2024,219,4.054
"R",2024,218,6.478
"T",2024,234,8.603
"L",2024,233,3.971
"R",2024,232,5.8985
"T",2024,227,9.197
"L",2024,226,4.1
"R",2024,225,6.029
"L",2024,191,3.9165
"R",2024,190,5.221
"T",2024,213,8.203
"L",2024,212,4.209
"T",2024,185,7.87
"R",2024,211,6.379
"T",2024,206,7.982
"L",2024,205,4.006
"R",2024,204,6.018
"L",2024,184,3.733
"T",2024,199,7.607
"L",2024,198,3.991
"R",2024,197,6.348
"T",2024,192,7.706
"R",2024,183,5.099
"L",2024,156,3.576
"T",2024,178,7.761
"L",2024,177,3.831
"L",2024,170,3.9235
"T",2024,164,7.903
"L",2024,163,4
"R",2024,162,5.032
"T",2024,150,8.501
"L",2024,149,4.146
"R",2024,148,5.181
"T",2024,143,8.002
"L",2024,142,3.856
"R",2025,139,4.992
"L",2025,141,4.02
"T",2025,142,8.811
"R",2025,146,4.526
"L",2025,147,3.88
"T",2025,148,7.455
"R",2025,153,4.632
"L",2025,154,3.789
"T",2025,155,7.326
"R",2025,160,4.641
"L",2025,161,3.864
"T",2025,162,7.173
"R",2025,167,4.6135
"L",2025,168,3.785
"T",2025,169,7.761
"R",2025,174,4.704
"L",2025,175,3.916
"T",2025,176,7.99
"R",2025,181,4.815
"L",2025,182,3.983
"T",2025,183,7.857
"T",2025,190,7.486
"R",2025,195,4.8385
"L",2025,196,4.2005
"T",2025,197,7.6965
"R",2025,202,4.132
"L",2025,203,4.768
"T",2025,204,7.842
"R",2025,209,4.764
"L",2025,210,4.043
"T",2025,211,8.298
"R",2025,216,5.011
"L",2025,217,4.75
"T",2025,218,7.989
"R",2025,223,5.593
"L",2025,224,4.189
"T",2025,225,8.612
"R",2025,230,4.745
"L",2025,231,4.174
"T",2025,232,8.054
"R",2013,140,4.703428571
"L",2013,141,3.458428571
"T",2013,142,9.274428571
"R",2013,147,4.767428571
"L",2013,148,3.370428571
"T",2013,149,10.48642857
"R",2013,154,4.858428571
"L",2013,155,3.895428571
"T",2013,156,10.86242857
"R",2013,161,5.047428571
"L",2013,162,3.764428571
"T",2013,163,11.12842857
"R",2013,168,5.172428571
"L",2013,169,3.866428571
"T",2013,170,11.10342857
"R",2013,175,5.585428571
"L",2013,176,3.835428571
"T",2013,177,11.23842857
"R",2013,182,5.477428571
"L",2013,183,3.982428571
"T",2013,184,11.16442857
"R",2013,189,5.801428571
"L",2013,190,3.792428571
"T",2013,191,11.58942857
"R",2013,196,6.120428571
"L",2013,197,7.449428571
"T",2013,198,12.20242857
"R",2013,203,5.951428571
"L",2013,204,4.149428571
"T",2013,205,12.91642857
"R",2013,210,5.623428571
"L",2013,211,3.965428571
"T",2013,212,12.62342857
"R",2013,217,5.657428571
"L",2013,218,4.062428571
"T",2013,219,12.31442857
"R",2013,224,5.738428571
"L",2013,225,3.869428571
"T",2013,226,12.15242857
"R",2013,231,5.651428571
"L",2013,232,3.880428571
"T",2013,233,12.34042857
"R",2013,238,5.608428571
"L",2013,239,3.858428571
"L",2014,140,3.428
"T",2014,141,10.188
"R",2014,146,4.438
"L",2014,147,3.198
"T",2014,148,9.468
"R",2014,153,4.478
"L",2014,154,3.128
"R",2014,160,4.588
"L",2014,161,3.818
"T",2014,162,11.028
"R",2014,167,4.218
"L",2014,168,4.668
"T",2014,169,10.168
"R",2014,174,11.068
"L",2014,175,3.588
"T",2014,176,14.658
"R",2014,181,4.738
"L",2014,182,3.598
"T",2014,183,11.258
"R",2014,188,8.548
"L",2014,189,3.598
"R",2014,195,4.458
"L",2014,196,3.708
"T",2014,197,9.538
"R",2014,202,9.448
"L",2014,203,3.468
"T",2014,204,10.638
"R",2014,209,4.468
"L",2014,210,3.638
"T",2014,211,10.038
"R",2014,216,4.618
"L",2014,217,3.628
"T",2014,218,10.258
"R",2014,223,5.628
"L",2014,224,3.388
"T",2014,225,9.978
"R",2014,230,4.608
"L",2014,231,3.098
"T",2014,232,8.998
"R",2014,237,4.468
"L",2014,238,3.098
"T",2014,239,8.978
"R",2015,138,4.396666667
"L",2015,139,3.406666667
"T",2015,140,10.99666667
"R",2015,145,4.786666667
"L",2015,146,3.626666667
"T",2015,147,10.56666667
"R",2015,152,7.416666667
"L",2015,153,3.396666667
"T",2015,154,9.356666667
"R",2015,159,4.956666667
"L",2015,160,3.576666667
"T",2015,161,9.396666667
"R",2015,166,5.176666667
"L",2015,167,3.626666667
"T",2015,168,13.09666667
"R",2015,173,5.216666667
"L",2015,174,3.496666667
"T",2015,175,9.706666667
"R",2015,180,5.646666667
"L",2015,181,3.316666667
"T",2015,182,9.376666667
"R",2015,187,5.106666667
"L",2015,188,3.646666667
"T",2015,189,8.856666667
"R",2015,194,4.996666667
"L",2015,195,3.336666667
"T",2015,196,9.356666667
"R",2015,201,5.296666667
"L",2015,202,3.476666667
"T",2015,203,9.186666667
"R",2015,208,5.906666667
"L",2015,209,3.526666667
"R",2015,215,5.026666667
"L",2015,216,3.346666667
"T",2015,217,9.306666667
"R",2015,222,5.286666667
"L",2015,223,3.286666667
"T",2015,224,9.566666667
"R",2015,229,5.276666667
"L",2015,230,3.606666667
"T",2015,231,9.446666667
"R",2015,236,5.176666667
"L",2015,237,3.416666667
"T",2015,238,9.696666667
