lakeid,lakename,year4,daynum,sampledate,standard_taxon_code,group_code,taxon_name,number_per_net,mean_length,mean_individ_biomass,net_efficiency_measured,net_efficiency_mean,abundance_raw,abundance,biomass
L,Paul Lake,1984,155,6/3/84,ASPLG,PROT,Asplanchna sp.,158,0.66,6.612,NA,0.136313053,2235.242756,16397.8629,0.108422669
L,Paul Lake,1984,155,6/3/84,CCOL,ROT,colonial Conochilus sp.,448,0.18,2.91,NA,0.2166,6337.903512,29260.8657,0.085149119
L,Paul Lake,1984,155,6/3/84,COPD,OCOP,Copepodite,1347,0.46,1.078,NA,0.195779392,19056.15185,97334.82007,0.104926936
L,Paul Lake,1984,155,6/3/84,DPUL,CLAD,Daphnia pulex,1089,1.27,13.392,NA,0.143798337,15406.19849,107137.5293,1.434785793
L,Paul Lake,1984,155,6/3/84,EPSH,CCOP,Epischura lacustris,24,1.8,13.112,0.137,0.255047885,339.5305453,1331.242348,0.01745525
L,Paul Lake,1984,155,6/3/84,FIL,ROT,Filinia longispina,376,0.14,0.036,NA,0.143798337,5319.311876,36991.47017,0.001331693
L,Paul Lake,1984,155,6/3/84,MSBR,ROT,Gastropus hyptopus,575,0.13,0.044,NA,0.143798337,8134.58598,56569.40253,0.002489054
L,Paul Lake,1984,155,6/3/84,GSTYL,ROT,Gastropus stylifer,20,0.11,0.027,NA,0.143798337,282.9421211,1967.631392,5.31E-05
L,Paul Lake,1984,155,6/3/84,HGIB,CLAD,Holopedium gibberum,317,0.76,5.541,NA,0.181128487,4484.632619,24759.39972,0.137191834
L,Paul Lake,1984,155,6/3/84,KCOCH,ROT,Keratella cochlearis,852,0.1,0.002,NA,0.143798337,12053.33436,83821.09731,0.000167642
L,Paul Lake,1984,155,6/3/84,KTEST,ROT,Keratella testudo,99,0.11,0.003,NA,0.143798337,1400.563499,9739.775392,2.92E-05
L,Paul Lake,1984,155,6/3/84,MESO,CCOP,Mesocyclops edax,3,1.52,27.706,NA,0.169252581,42.44131816,250.7572873,0.006947481
L,Paul Lake,1984,155,6/3/84,NAUP,OCOP,Nauplii,2555,0.2,0.944,NA,0.184969965,36145.85596,195414.7307,0.184471506
L,Paul Lake,1984,155,6/3/84,ORTH,OCOP,Orthocyclops modestus,198,0.88,5.648,NA,0.19556779,2801.126998,14323.04883,0.08089658
L,Paul Lake,1984,155,6/3/84,PVULG,ROT,Polyarthra vulgaris,1287,0.12,0.048,NA,0.143798337,18207.32549,126617.0801,0.00607762
R,Peter Lake,1984,156,6/4/84,AEUC,ROT,Ascomorpha ecaudis,257,0.15,0.041,NA,0.177230056,3635.806256,20514.61435,0.000841099
R,Peter Lake,1984,156,6/4/84,ASPLG,PROT,Asplanchna sp.,1028,0.67,6.918,NA,0.125464151,14543.22502,115915.3823,0.801902614
R,Peter Lake,1984,156,6/4/84,CCOL,ROT,colonial Conochilus sp.,3,0.18,2.91,NA,0.142,42.44131816,298.8825222,0.000869748
R,Peter Lake,1984,156,6/4/84,COPD,OCOP,Copepodite,5610,0.51,1.403,NA,0.172107014,79365.26496,461139.0495,0.646978086
R,Peter Lake,1984,156,6/4/84,DT-CYV,OCOP,Cyclops varicans rubellus,1186,0.79,4.288,NA,0.239530296,16778.46778,70047.37215,0.300363132
R,Peter Lake,1984,156,6/4/84,DPUL,CLAD,Daphnia pulex,1106,1.25,12.826,NA,0.177230056,15646.69929,88284.68276,1.132339341
R,Peter Lake,1984,156,6/4/84,FDIAPT,OCOP,Diaptomus oregonensis,2410,0.79,2.033,NA,0.168478539,34094.52559,202367.1722,0.411412461
R,Peter Lake,1984,156,6/4/84,EPSH,CCOP,Epischura lacustris,11,1.71,11.674,NA,0.092263018,155.6181666,1686.679776,0.0196903
R,Peter Lake,1984,156,6/4/84,GSTYL,ROT,Gastropus stylifer,5293,0.11,0.027,NA,0.177230056,74880.63234,422505.2675,0.011407642
R,Peter Lake,1984,156,6/4/84,HGIB,CLAD,Holopedium gibberum,127,1.1,12.045,NA,0.157585475,1796.682469,11401.32023,0.137328902
R,Peter Lake,1984,156,6/4/84,KBOST,ROT,Kellicotia bostoniensis,179,0.12,0.005,NA,0.177230056,2532.331983,14288.38898,7.14E-05
R,Peter Lake,1984,156,6/4/84,KCOCH,ROT,Keratella cochlearis,730,0.11,0.003,NA,0.177230056,10327.38742,58271.08356,0.000174813
