"lake","year","doy","cumulative.load","daily.load"
"L",2013,140,0.3,0.3
"L",2013,141,0.6,0.3
"L",2013,142,0.9,0.3
"L",2013,143,1.2,0.3
"L",2013,144,1.5,0.3
"L",2013,145,1.8,0.3
"L",2013,146,2.1,0.3
"L",2013,147,2.4,0.3
"L",2013,148,2.7,0.3
"L",2013,149,3,0.3
"L",2013,150,3.3,0.3
"L",2013,151,3.6,0.3
"L",2013,152,3.9,0.3
"L",2013,153,4.2,0.3
"L",2013,154,4.5,0.3
"L",2013,155,4.8,0.3
"L",2013,156,5.1,0.3
"L",2013,157,5.4,0.3
"L",2013,158,5.7,0.3
"L",2013,159,6,0.3
"L",2013,160,6.3,0.3
"L",2013,161,6.6,0.3
"L",2013,162,6.9,0.3
"L",2013,163,7.2,0.3
"L",2013,164,7.5,0.3
"L",2013,165,7.8,0.3
"L",2013,166,8.1,0.3
"L",2013,167,8.4,0.3
"L",2013,168,8.7,0.3
"L",2013,169,9,0.3
"L",2013,170,9.3,0.3
"L",2013,171,9.6,0.3
"L",2013,172,9.9,0.3
"L",2013,173,10.2,0.3
"L",2013,174,10.5,0.3
"L",2013,175,10.8,0.3
"L",2013,176,11.1,0.3
"L",2013,177,11.4,0.3
"L",2013,178,11.7,0.3
"L",2013,179,12,0.3
"L",2013,180,12.3,0.3
"L",2013,181,12.6,0.3
"L",2013,182,12.9,0.3
"L",2013,183,13.2,0.3
"L",2013,184,13.5,0.3
"L",2013,185,13.8,0.3
"L",2013,186,14.1,0.3
"L",2013,187,14.4,0.3
"L",2013,188,14.7,0.3
"L",2013,189,15,0.3
"L",2013,190,15.3,0.3
"L",2013,191,15.6,0.3
"L",2013,192,15.9,0.3
"L",2013,193,16.2,0.3
"L",2013,194,16.5,0.3
"L",2013,195,16.8,0.3
"L",2013,196,17.1,0.3
"L",2013,197,17.4,0.3
"L",2013,198,17.7,0.3
"L",2013,199,18,0.3
"L",2013,200,18.3,0.3
"L",2013,201,18.6,0.3
"L",2013,202,18.9,0.3
"L",2013,203,19.2,0.3
"L",2013,204,19.5,0.3
"L",2013,205,19.8,0.3
"L",2013,206,20.1,0.3
"L",2013,207,20.4,0.3
"L",2013,208,20.7,0.3
"L",2013,209,21,0.3
"L",2013,210,21.3,0.3
"L",2013,211,21.6,0.3
"L",2013,212,21.9,0.3
"L",2013,213,22.2,0.3
"L",2013,214,22.5,0.3
"L",2013,215,22.8,0.3
"L",2013,216,23.1,0.3
"L",2013,217,23.4,0.3
"L",2013,218,23.7,0.3
"L",2013,219,24,0.3
"L",2013,220,24.3,0.3
"L",2013,221,24.6,0.3
"L",2013,222,24.9,0.3
"L",2013,223,25.2,0.3
"L",2013,224,25.5,0.3
"L",2013,225,25.8,0.3
"L",2013,226,26.1,0.3
"L",2013,227,26.4,0.3
"L",2013,228,26.7,0.3
"L",2013,229,27,0.3
"L",2013,230,27.3,0.3
"L",2013,231,27.6,0.3
"L",2013,232,27.9,0.3
"L",2013,233,28.2,0.3
"L",2013,234,28.5,0.3
"L",2013,235,28.8,0.3
"L",2013,236,29.1,0.3
"L",2013,237,29.4,0.3
"L",2013,238,29.7,0.3
"L",2013,239,30,0.3
"L",2013,240,30.3,0.3
"L",2013,241,30.6,0.3
"L",2013,242,30.9,0.3
"L",2013,243,31.2,0.3
"L",2013,244,31.5,0.3
"L",2013,245,31.8,0.3
"L",2013,246,32.1,0.3
"L",2013,247,32.4,0.3
"L",2013,248,32.7,0.3
"L",2013,249,33,0.3
"L",2013,250,33.3,0.3
"L",2014,140,0.3,0.3
"L",2014,141,0.6,0.3
