"lake","year","DOY","kPAR"
"L",2013,141,0.97583093537507
"L",2013,148,0.909726597062072
"L",2013,155,0.882084941297477
"L",2013,162,0.930129814485498
"L",2013,169,0.848270543301122
"L",2013,176,0.983238931947785
"L",2013,183,0.972396049946277
"L",2013,190,0.959661092978166
"L",2013,197,0.939756076943708
"L",2013,204,1.00910418975914
"L",2013,211,0.89098969534995
"L",2013,218,0.848048744962603
"L",2013,225,0.881779112760915
"L",2013,232,0.856273953589366
"L",2013,239,0.793836952465271
"L",2014,140,0.935315291313722
"L",2014,147,0.617528515991599
"L",2014,154,0.77565219407791
"L",2014,161,0.744028043902947
"L",2014,168,0.746200172725578
"L",2014,175,0.750835941729374
"L",2014,182,0.768331867505924
"L",2014,189,0.779324839242573
"L",2014,196,0.756644807884025
"L",2014,203,0.668006979750774
"L",2014,210,0.754633325103625
"L",2014,217,0.743497415059968
"L",2014,224,0.724026315834884
"L",2014,231,0.627382793726699
"L",2014,238,0.695572374446217
"L",2015,139,0.745604141343884
"L",2015,146,0.686495232636645
"L",2015,153,0.790862369915945
"L",2015,160,0.789406597298511
"L",2015,167,0.819177617670878
"L",2015,174,0.742243891973592
"L",2015,181,0.755744663392245
"L",2015,188,0.835461301424306
"L",2015,195,0.716243551226426
"L",2015,202,0.829549419447057
"L",2015,209,0.725215473782464
"L",2015,216,0.686045466550578
"L",2015,223,0.611313514839713
"L",2015,230,0.798340341167016
"L",2015,237,0.716501430482386
"L",2024,142,0.638073437268396
"L",2024,149,0.645705111219005
"L",2024,156,0.660247344241811
"L",2024,163,0.587436387096378
"L",2024,170,0.637827952185363
"L",2024,177,0.71403678898734
"L",2024,184,0.616937122833335
"L",2024,191,0.708553587768263
"L",2024,198,0.677637553223116
"L",2024,212,0.621316300371236
"L",2024,219,0.702443055220965
"L",2024,226,0.700510097855594
"L",2024,233,0.70864850300982
"L",2025,154,0.653973459686762
"L",2025,161,0.95011698798094
"L",2025,168,0.66711913928305
"L",2025,175,0.699872981231194
"L",2025,182,0.687818475866026
