"doy","thermocline","depth","lake","year"
141,"ZT1a",0.423913043478261,"L",2013
141,"ZT1b",2.75,"L",2013
141,"ZT2",1.25,"L",2013
148,"ZT1a",1.29347826086957,"L",2013
148,"ZT1b",3.16666666666667,"L",2013
148,"ZT2",1.75,"L",2013
155,"ZT1a",1.65909090909091,"L",2013
155,"ZT1b",3.66666666666667,"L",2013
155,"ZT2",2.25,"L",2013
162,"ZT1a",0.75,"L",2013
162,"ZT1b",4.375,"L",2013
162,"ZT2",2.75,"L",2013
169,"ZT1a",1.625,"L",2013
169,"ZT1b",4.25,"L",2013
169,"ZT2",2.25,"L",2013
176,"ZT1a",0.75,"L",2013
176,"ZT1b",4.91666666666667,"L",2013
176,"ZT2",2.25,"L",2013
183,"ZT1a",1.77272727272727,"L",2013
183,"ZT1b",4.75,"L",2013
183,"ZT2",2.25,"L",2013
190,"ZT1a",1.53571428571429,"L",2013
190,"ZT1b",5.25,"L",2013
190,"ZT2",2.25,"L",2013
197,"ZT1a",1.55,"L",2013
197,"ZT1b",5.41666666666667,"L",2013
197,"ZT2",2.75,"L",2013
204,"ZT1a",2.35526315789474,"L",2013
204,"ZT1b",5.75,"L",2013
204,"ZT2",2.75,"L",2013
211,"ZT1a",3,"L",2013
211,"ZT1b",5.75,"L",2013
211,"ZT2",3.75,"L",2013
218,"ZT1a",2.59615384615385,"L",2013
218,"ZT1b",5.63888888888889,"L",2013
218,"ZT2",3.75,"L",2013
225,"ZT1a",2.84523809523809,"L",2013
225,"ZT1b",6.75,"L",2013
225,"ZT2",3.25,"L",2013
232,"ZT1a",2.58333333333333,"L",2013
232,"ZT1b",5.69444444444444,"L",2013
232,"ZT2",3.75,"L",2013
239,"ZT1a",1.95,"L",2013
239,"ZT1b",6.95,"L",2013
239,"ZT2",4.25,"L",2013
140,"ZT1a",0.431818181818182,"R",2013
140,"ZT1b",2.55,"R",2013
140,"ZT2",1.25,"R",2013
147,"ZT1a",1.2,"R",2013
147,"ZT1b",3.75,"R",2013
147,"ZT2",1.75,"R",2013
154,"ZT1a",1.39285714285714,"R",2013
154,"ZT1b",3.75,"R",2013
154,"ZT2",1.75,"R",2013
161,"ZT1a",1.52272727272727,"R",2013
161,"ZT1b",4.25,"R",2013
161,"ZT2",2.25,"R",2013
168,"ZT1a",1.31521739130435,"R",2013
168,"ZT1b",4.25,"R",2013
168,"ZT2",1.75,"R",2013
175,"ZT1a",1.01923076923077,"R",2013
175,"ZT1b",4.75,"R",2013
175,"ZT2",2.75,"R",2013
182,"ZT1a",1.38636363636364,"R",2013
182,"ZT1b",4.75,"R",2013
182,"ZT2",2.25,"R",2013
189,"ZT1a",1.35,"R",2013
189,"ZT1b",5.55,"R",2013
189,"ZT2",2.25,"R",2013
196,"ZT1a",1.39814814814815,"R",2013
196,"ZT1b",5.58333333333333,"R",2013
196,"ZT2",2.75,"R",2013
203,"ZT1a",1.64285714285714,"R",2013
203,"ZT1b",5.41666666666667,"R",2013
203,"ZT2",2.25,"R",2013
210,"ZT1a",2.54411764705882,"R",2013
210,"ZT1b",5.25,"R",2013
210,"ZT2",3.25,"R",2013
217,"ZT1a",2.25,"R",2013
217,"ZT1b",5.55,"R",2013
217,"ZT2",3.25,"R",2013
224,"ZT1a",2.03125,"R",2013
224,"ZT1b",5.25,"R",2013
224,"ZT2",3.25,"R",2013
231,"ZT1a",1.83333333333333,"R",2013
231,"ZT1b",5.41666666666667,"R",2013
231,"ZT2",2.75,"R",2013
238,"ZT1a",1.75,"R",2013
238,"ZT1b",5.13888888888889,"R",2013
238,"ZT2",3.25,"R",2013
142,"ZT1a",0.84375,"T",2013
142,"ZT1b",2.65,"T",2013
142,"ZT2",1.25,"T",2013
149,"ZT1a",1,"T",2013
149,"ZT1b",2.91666666666667,"T",2013
149,"ZT2",1.75,"T",2013
156,"ZT1a",1.36111111111111,"T",2013
156,"ZT1b",3.35,"T",2013
156,"ZT2",1.75,"T",2013
163,"ZT1a",0.687499999999999,"T",2013
163,"ZT1b",3.41666666666667,"T",2013
163,"ZT2",1.25,"T",2013
170,"ZT1a",0.916666666666667,"T",2013
170,"ZT1b",3.65,"T",2013
170,"ZT2",1.75,"T",2013
177,"ZT1a",0.513157894736842,"T",2013
177,"ZT1b",3.75,"T",2013
177,"ZT2",1.25,"T",2013
184,"ZT1a",1.04166666666667,"T",2013
184,"ZT1b",3.875,"T",2013
184,"ZT2",1.75,"T",2013
191,"ZT1a",1.34433962264151,"T",2013
191,"ZT1b",4.03571428571429,"T",2013
191,"ZT2",1.75,"T",2013
198,"ZT1a",0.87,"T",2013
198,"ZT1b",4.08333333333333,"T",2013
198,"ZT2",1.75,"T",2013
205,"ZT1a",1.46739130434783,"T",2013
205,"ZT1b",4.15,"T",2013
205,"ZT2",2.25,"T",2013
212,"ZT1a",0.472222222222223,"T",2013
212,"ZT1b",4.33333333333333,"T",2013
212,"ZT2",2.75,"T",2013
219,"ZT1a",0.916666666666667,"T",2013
219,"ZT1b",4.25,"T",2013
219,"ZT2",2.25,"T",2013
226,"ZT1a",1.52777777777778,"T",2013
226,"ZT1b",4.45,"T",2013
226,"ZT2",2.75,"T",2013
233,"ZT1a",0.666666666666667,"T",2013
233,"ZT1b",4.41666666666667,"T",2013
233,"ZT2",2.75,"T",2013
240,"ZT1a",0.923076923076923,"T",2013
240,"ZT1b",4.45,"T",2013
240,"ZT2",2.25,"T",2013
140,"ZT1a",1.0625,"L",2014
140,"ZT1b",3,"L",2014
140,"ZT2",2.25,"L",2014
147,"ZT1a",0.779411764705882,"L",2014
147,"ZT1b",3.75,"L",2014
147,"ZT2",1.25,"L",2014
154,"ZT1a",1.35227272727273,"L",2014
154,"ZT1b",4.32142857142857,"L",2014
154,"ZT2",1.75,"L",2014
161,"ZT1a",1.79166666666667,"L",2014
161,"ZT1b",4.41666666666667,"L",2014
161,"ZT2",2.25,"L",2014
168,"ZT1a",1.58333333333333,"L",2014
168,"ZT1b",4.75,"L",2014
168,"ZT2",2.75,"L",2014
175,"ZT1a",1.125,"L",2014
175,"ZT1b",5.05,"L",2014
175,"ZT2",2.75,"L",2014
182,"ZT1a",1.80263157894737,"L",2014
182,"ZT1b",5.41666666666667,"L",2014
182,"ZT2",2.75,"L",2014
189,"ZT1a",2.01470588235294,"L",2014
189,"ZT1b",5.10714285714286,"L",2014
189,"ZT2",3.25,"L",2014
196,"ZT1a",2.796875,"L",2014
196,"ZT1b",5.75,"L",2014
196,"ZT2",3.25,"L",2014
