"","DOY","obs1","obs2","ysi_p","hylb_p","ysi_m","hylb_m"
"1",129,4.7,9.8,4.7,9.8,4.7,9.8
"2",129.003472222222,4.2,10.3,4.2,10.3,4.2,10.3
"3",129.006944444444,4.4,10.5,4.4,10.5,4.4,10.5
"4",129.010416666667,4,11.2,4,11.2,4,11.2
"5",129.013888888889,4.3,11,4.3,11,4.3,11
"6",129.017361111111,4.5,8.6,4.5,8.6,4.5,8.6
"7",129.020833333333,4.3,9.8,4.3,9.8,4.3,9.8
"8",129.024305555556,4.3,10.3,4.3,10.3,4.3,10.3
"9",129.027777777778,4.7,10.6,4.7,10.6,4.7,10.6
"10",129.03125,4.1,10.7,4.1,10.7,4.1,10.7
"11",129.034722222222,3.4,9.8,3.4,9.8,3.4,9.8
"12",129.038194444444,4,10.1,4,10.1,4,10.1
"13",129.041666666667,4.1,9.5,4.1,9.5,4.1,9.5
"14",129.045138888889,4.1,10.3,4.1,10.3,4.1,10.3
"15",129.048611111111,4,10.8,4,10.8,4,10.8
"16",129.052083333333,4.1,10.4,4.1,10.4,4.1,10.4
"17",129.055555555556,3.8,8.8,3.8,8.8,3.8,8.8
"18",129.059027777778,3.8,10.2,3.8,10.2,3.8,10.2
"19",129.0625,3.2,10.4,3.2,10.4,3.2,10.4
"20",129.065972222222,4.4,10.2,4.4,10.2,4.4,10.2
"21",129.069444444444,4.3,9.4,4.3,9.4,4.3,9.4
"22",129.072916666667,4.7,9.3,4.7,9.3,4.7,9.3
"23",129.076388888889,4.3,10.1,4.3,10.1,4.3,10.1
"24",129.079861111111,4.2,10.5,4.2,10.5,4.2,10.5
"25",129.083333333333,4.5,10.6,4.5,10.6,4.5,10.6
"26",129.086805555556,3.9,10.2,3.9,10.2,3.9,10.2
"27",129.090277777778,4.7,12.8,4.7,12.8,4.7,12.8
"28",129.09375,4.8,13.1,4.8,13.1,4.8,13.1
"29",129.097222222222,4.6,11.7,4.6,11.7,4.6,11.7
"30",129.100694444444,3.8,9.9,3.8,9.9,3.8,9.9
"31",129.104166666667,4.6,9.6,4.6,9.6,4.6,9.6
"32",129.107638888889,4,8.7,4,8.7,4,8.7
"33",129.111111111111,5.1,10.9,5.1,10.9,5.1,10.9
"34",129.114583333333,4.1,10.5,4.1,10.5,4.1,10.5
"35",129.118055555556,4,10.5,4,10.5,4,10.5
"36",129.121527777778,4,10.2,4,10.2,4,10.2
"37",129.125,4.5,9.7,4.5,9.7,4.5,9.7
"38",129.128472222222,6.3,10.1,6.3,10.1,6.3,10.1
"39",129.131944444444,3.9,10.1,3.9,10.1,3.9,10.1
"40",129.135416666667,4,10.4,4,10.4,4,10.4
"41",129.138888888889,4.8,12,4.8,12,4.8,12
"42",129.142361111111,4.5,8.5,4.5,8.5,4.5,8.5
"43",129.145833333333,5.3,8.9,5.3,8.9,5.3,8.9
"44",129.149305555556,4.4,10.7,4.4,10.7,4.4,10.7
"45",129.152777777778,4.8,9.5,4.8,9.5,4.8,9.5
"46",129.15625,4.9,9.7,4.9,9.7,4.9,9.7
"47",129.159722222222,3.9,10.2,3.9,10.2,3.9,10.2
"48",129.163194444444,4.2,11.7,4.2,11.7,4.2,11.7
"49",129.166666666667,4.1,10.5,4.1,10.5,4.1,10.5
"50",129.170138888889,4.3,11.3,4.3,11.3,4.3,11.3
"51",129.173611111111,5.5,11.4,5.5,11.4,5.5,11.4
"52",129.177083333333,4.1,8.7,4.1,8.7,4.1,8.7
"53",129.180555555556,3.8,10.2,3.8,10.2,3.8,10.2
"54",129.184027777778,4,8.3,4,8.3,4,8.3
"55",129.1875,4.7,11,4.7,11,4.7,11
"56",129.190972222222,4.1,10.4,4.1,10.4,4.1,10.4
"57",129.194444444444,5.2,9.6,5.2,9.6,5.2,9.6
"58",129.197916666667,4.9,12.3,4.9,12.3,4.9,12.3
"59",129.201388888889,5.2,9.5,5.2,9.5,5.2,9.5
"60",129.204861111111,5.1,9,5.1,9,5.1,9
"61",129.208333333333,4.5,10.6,4.5,10.6,4.5,10.6
"62",129.211805555556,4.1,9,4.1,9,4.1,9
"63",129.215277777778,4.4,10.5,4.4,10.5,4.4,10.5
"64",129.21875,4.6,11.2,4.6,11.2,4.6,11.2
"65",129.222222222222,3.9,11.6,3.9,11.6,3.9,11.6
"66",129.225694444444,4.8,11.8,4.8,11.8,4.8,11.8
"67",129.229166666667,5.2,10.3,5.2,10.3,5.2,10.3
"68",129.232638888889,5.1,9.7,5.1,9.7,5.1,9.7
"69",129.236111111111,4.3,12.1,4.3,12.1,4.3,12.1
"70",129.239583333333,4.7,17.3,4.7,17.3,4.7,17.3
"71",129.243055555556,4.9,11.8,4.9,11.8,4.9,11.8
"72",129.246527777778,4.5,12.1,4.5,12.1,4.5,12.1
"73",129.25,5.1,13.4,5.1,13.4,5.1,13.4
"74",129.253472222222,4.6,12.7,4.6,12.7,4.6,12.7
"75",129.256944444444,4.4,13.1,4.4,13.1,4.4,13.1
"76",129.260416666667,4.4,22.7,4.4,22.7,4.4,22.7
"77",129.263888888889,4.7,11.6,4.7,11.6,4.7,11.6
"78",129.267361111111,4.3,15.7,4.3,15.7,4.3,15.7
"79",129.270833333333,3.9,12.2,3.9,12.2,3.9,12.2
"80",129.274305555556,5,13.9,5,13.9,5,13.9
"81",129.277777777778,5.8,19.8,5.8,19.8,5.8,19.8
"82",129.28125,4.9,12.5,4.9,12.5,4.9,12.5
"83",129.284722222222,5.2,11.5,5.2,11.5,5.2,11.5
"84",129.288194444444,4.4,14.7,4.4,14.7,4.4,14.7
"85",129.291666666667,6,12.8,6,12.8,6,12.8
"86",129.295138888889,4.2,15.5,4.2,15.5,4.2,15.5
"87",129.298611111111,5.4,15.2,5.4,15.2,5.4,15.2
"88",129.302083333333,4.1,14,4.1,14,4.1,14
"89",129.305555555556,5.4,12.9,5.4,12.9,5.4,12.9
"90",129.309027777778,5,13,5,13,5,13
"91",129.3125,3.9,14.1,3.9,14.1,3.9,14.1
"92",129.315972222222,5.3,19.5,5.3,19.5,5.3,19.5
"93",129.319444444444,7.1,14.6,7.1,14.6,7.1,14.6
"94",129.322916666667,5.2,15.9,5.2,15.9,5.2,15.9
"95",129.326388888889,5.6,11.1,5.6,11.1,5.6,11.1
"96",129.329861111111,6,15.5,6,15.5,6,15.5
"97",129.333333333333,5.2,15.8,5.2,15.8,5.2,15.8
"98",129.336805555556,4.8,15.4,4.8,15.4,4.8,15.4
"99",129.340277777778,5.9,14.4,5.9,14.4,5.9,14.4
"100",129.34375,5.3,15.6,5.3,15.6,5.3,15.6
"101",129.347222222222,5.7,15.8,5.7,15.8,5.7,15.8
"102",129.350694444444,6,22.6,6,22.6,6,22.6
"103",129.354166666667,5.5,17.1,5.5,17.1,5.5,17.1
"104",129.357638888889,6.1,13.9,6.1,13.9,6.1,13.9
"105",129.361111111111,7.1,12.1,7.1,12.1,7.1,12.1
"106",129.364583333333,6.6,14.6,6.6,14.6,6.6,14.6
"107",129.368055555556,5.8,16.1,5.8,16.1,5.8,16.1
"108",129.371527777778,5.6,16,5.6,16,5.6,16
"109",129.375,7,16,7,16,7,16
"110",129.378472222222,6.3,17.9,6.3,17.9,6.3,17.9
"111",129.381944444444,6,17,6,17,6,17
"112",129.385416666667,6.8,11.3,6.8,11.3,6.8,11.3
"113",129.388888888889,6,14.8,6,14.8,6,14.8
"114",129.392361111111,6.3,17.3,6.3,17.3,6.3,17.3
"115",129.395833333333,5.7,10.7,5.7,10.7,5.7,10.7
"116",129.399305555556,6,13.9,6,13.9,6,13.9
"117",129.402777777778,5.8,15.8,5.8,15.8,5.8,15.8
"118",129.40625,5.3,16.3,5.3,16.3,5.3,16.3
"119",129.409722222222,6.2,15.7,6.2,15.7,6.2,15.7
"120",129.413194444444,6.2,15.8,6.2,15.8,6.2,15.8
"121",129.416666666667,6.5,16.9,6.5,16.9,6.5,16.9
"122",129.420138888889,5.8,15.1,5.8,15.1,5.8,15.1
"123",129.423611111111,5.8,14,5.8,14,5.8,14
"124",129.427083333333,6.5,14,6.5,14,6.5,14
"125",129.430555555556,6.3,15.8,6.3,15.8,6.3,15.8
"126",129.434027777778,6,14.9,6,14.9,6,14.9
"127",129.4375,5.5,14.7,5.5,14.7,5.5,14.7
"128",129.440972222222,5.9,14.8,5.9,14.8,5.9,14.8
"129",129.444444444444,5.7,15,5.7,15,5.7,15
"130",129.447916666667,5.3,13.4,5.3,13.4,5.3,13.4
"131",129.451388888889,5.3,16.2,5.3,16.2,5.3,16.2
"132",129.454861111111,5.4,13.2,5.4,13.2,5.4,13.2
"133",129.458333333333,5.2,14.5,5.2,14.5,5.2,14.5
"134",129.461805555556,5.4,14.9,5.4,14.9,5.4,14.9
"135",129.465277777778,6.1,13.2,6.1,13.2,6.1,13.2
"136",129.46875,5.8,14.9,5.8,14.9,5.8,14.9
"137",129.472222222222,6,11.3,6,11.3,6,11.3
"138",129.475694444444,5.8,14.3,5.8,14.3,5.8,14.3
"139",129.479166666667,5.9,14.1,5.9,14.1,5.9,14.1
"140",129.482638888889,5.7,14,5.7,14,5.7,14
"141",129.486111111111,5.8,13.9,5.8,13.9,5.8,13.9
"142",129.489583333333,5.4,11.5,5.4,11.5,5.4,11.5
"143",129.493055555556,5.9,13.4,5.9,13.4,5.9,13.4
"144",129.496527777778,5.9,14,5.9,14,5.9,14
"145",129.5,4.7,13.2,4.7,13.2,4.7,13.2
"146",129.503472222222,4.3,13,4.3,13,4.3,13
"147",129.506944444444,5.2,12.6,5.2,12.6,5.2,12.6
"148",129.510416666667,4,12.3,4,12.3,4,12.3
"149",129.513888888889,4.6,10.7,4.6,10.7,4.6,10.7
"150",129.517361111111,5.8,12.1,5.8,12.1,5.8,12.1
"151",129.520833333333,5.9,12.5,5.9,12.5,5.9,12.5
"152",129.524305555556,4.4,11.6,4.4,11.6,4.4,11.6
"153",129.527777777778,5,12.1,5,12.1,5,12.1
"154",129.53125,5.6,13,5.6,13,5.6,13
"155",129.534722222222,4.9,12.3,4.9,12.3,4.9,12.3
"156",129.538194444444,4.8,12.2,4.8,12.2,4.8,12.2
"157",129.541666666667,4,10.9,4,10.9,4,10.9
"158",129.545138888889,4.7,10.1,4.7,10.1,4.7,10.1
"159",129.548611111111,4.5,6.8,4.5,6.8,4.5,6.8
"160",129.552083333333,4.3,10.4,4.3,10.4,4.3,10.4
"161",129.555555555556,3.5,9.9,3.5,9.9,3.5,9.9
"162",129.559027777778,4.6,6,4.6,6,4.6,6
"163",129.5625,3.8,10.2,3.8,10.2,3.8,10.2
"164",129.565972222222,3.9,10.7,3.9,10.7,3.9,10.7
"165",129.569444444444,3.7,12.9,3.7,12.9,3.7,12.9
"166",129.572916666667,4.8,11.5,4.8,11.5,4.8,11.5
"167",129.576388888889,4,12.1,4,12.1,4,12.1
"168",129.579861111111,4.1,11.5,4.1,11.5,4.1,11.5
"169",129.583333333333,3.8,14.6,3.8,14.6,3.8,14.6
"170",129.586805555556,3.8,9.1,3.8,9.1,3.8,9.1
"171",129.590277777778,3.7,7.8,3.7,7.8,3.7,7.8
"172",129.59375,3.8,8,3.8,8,3.8,8
"173",129.597222222222,3.8,8.8,3.8,8.8,3.8,8.8
"174",129.600694444444,4.4,7.6,4.4,7.6,4.4,7.6
"175",129.604166666667,2.3,8.7,2.3,8.7,2.3,8.7
"176",129.607638888889,3.8,9.6,3.8,9.6,3.8,9.6
"177",129.611111111111,4,10.6,4,10.6,4,10.6
"178",129.614583333333,4,15.5,4,15.5,4,15.5
"179",129.618055555556,3.8,9.8,3.8,9.8,3.8,9.8
"180",129.621527777778,3.6,8.3,3.6,8.3,3.6,8.3
"181",129.625,4.3,11.1,4.3,11.1,4.3,11.1
"182",129.628472222222,3.2,11.8,3.2,11.8,3.2,11.8
"183",129.631944444444,3.4,9.6,3.4,9.6,3.4,9.6
"184",129.635416666667,4.1,11.8,4.1,11.8,4.1,11.8
"185",129.638888888889,4.4,10.9,4.4,10.9,4.4,10.9
"186",129.642361111111,5.3,9.7,5.3,9.7,5.3,9.7
"187",129.645833333333,5.4,10.6,5.4,10.6,5.4,10.6
"188",129.649305555556,5.2,9.5,5.2,9.5,5.2,9.5
"189",129.652777777778,5.9,10.2,5.9,10.2,5.9,10.2
"190",129.65625,4.2,11,4.2,11,4.2,11
"191",129.659722222222,4.8,10.9,4.8,10.9,4.8,10.9
"192",129.663194444444,4.7,9.7,4.7,9.7,4.7,9.7
"193",129.666666666667,4.5,11.8,4.5,11.8,4.5,11.8
"194",129.670138888889,5.3,10.8,5.3,10.8,5.3,10.8
"195",129.673611111111,4.4,11.3,4.4,11.3,4.4,11.3
"196",129.677083333333,4.8,10.4,4.8,10.4,4.8,10.4
"197",129.680555555556,3.8,8.5,3.8,8.5,3.8,8.5
"198",129.684027777778,4.6,11,4.6,11,4.6,11
"199",129.6875,4,11.1,4,11.1,4,11.1
"200",129.690972222222,5.2,10.4,5.2,10.4,5.2,10.4
"201",129.694444444444,5.2,11.1,5.2,11.1,5.2,11.1
"202",129.697916666667,4.6,10.5,4.6,10.5,4.6,10.5
"203",129.701388888889,4.7,11.5,4.7,11.5,4.7,11.5
"204",129.704861111111,4.2,10.3,4.2,10.3,4.2,10.3
"205",129.708333333333,4.6,10.5,4.6,10.5,4.6,10.5
"206",129.711805555556,4.8,10.3,4.8,10.3,4.8,10.3
"207",129.715277777778,4.6,10.5,4.6,10.5,4.6,10.5
"208",129.71875,4.5,10.4,4.5,10.4,4.5,10.4
"209",129.722222222222,4.2,10.1,4.2,10.1,4.2,10.1
"210",129.725694444444,4.9,11,4.9,11,4.9,11
"211",129.729166666667,3.9,10.5,3.9,10.5,3.9,10.5
"212",129.732638888889,4.3,11,4.3,11,4.3,11
"213",129.736111111111,4.7,10.2,4.7,10.2,4.7,10.2
"214",129.739583333333,4.4,10.6,4.4,10.6,4.4,10.6
