"","DOY","obs1","obs2","ysi_p","hylb_p","ysi_m","hylb_m"
"1",134.715277777778,NA,NA,2.12354316562526,7.34387923792442,0.479736538533816,1.98768659143093
"2",134.71875,0.61,2.83,0.61,2.83,0.61,2.83
"3",134.722222222222,0.61,2.94,0.61,2.94,0.61,2.94
"4",134.725694444444,0.6,2.84,0.6,2.84,0.6,2.84
"5",134.729166666667,0.62,2.8,0.62,2.8,0.62,2.8
"6",134.732638888889,0.56,3.1,0.56,3.1,0.56,3.1
"7",134.736111111111,0.55,2.98,0.55,2.98,0.55,2.98
"8",134.739583333333,0.63,3.2,0.63,3.2,0.63,3.2
"9",134.743055555556,0.56,2.96,0.56,2.96,0.56,2.96
"10",134.746527777778,0.61,2.9,0.61,2.9,0.61,2.9
"11",134.75,0.62,3.01,0.62,3.01,0.62,3.01
"12",134.753472222222,0.59,2.95,0.59,2.95,0.59,2.95
"13",134.756944444444,0.55,3.47,0.55,3.47,0.55,3.47
"14",134.760416666667,0.56,3.65,0.56,3.65,0.56,3.65
"15",134.763888888889,0.56,3.33,0.56,3.33,0.56,3.33
"16",134.767361111111,0.67,3.48,0.67,3.48,0.67,3.48
"17",134.770833333333,0.69,3.39,0.69,3.39,0.69,3.39
"18",134.774305555556,0.61,3.5,0.61,3.5,0.61,3.5
"19",134.777777777778,0.73,3.66,0.73,3.66,0.73,3.66
"20",134.78125,0.73,3.88,0.73,3.88,0.73,3.88
"21",134.784722222222,0.8,3.98,0.8,3.98,0.8,3.98
"22",134.788194444444,0.69,3.72,0.69,3.72,0.69,3.72
"23",134.791666666667,0.64,4.14,0.64,4.14,0.64,4.14
"24",134.795138888889,0.64,3.8,0.64,3.8,0.64,3.8
"25",134.798611111111,0.67,3.78,0.67,3.78,0.67,3.78
"26",134.802083333333,0.63,7.83,0.63,7.83,0.63,7.83
"27",134.805555555556,0.76,3.5,0.76,3.5,0.76,3.5
"28",134.809027777778,0.72,3.52,0.72,3.52,0.72,3.52
"29",134.8125,0.71,3.81,0.71,3.81,0.71,3.81
"30",134.815972222222,0.73,3.71,0.73,3.71,0.73,3.71
"31",134.819444444444,0.77,3.81,0.77,3.81,0.77,3.81
"32",134.822916666667,0.67,3.66,0.67,3.66,0.67,3.66
"33",134.826388888889,0.78,3.27,0.78,3.27,0.78,3.27
"34",134.829861111111,0.74,3.52,0.74,3.52,0.74,3.52
"35",134.833333333333,0.78,4.02,0.78,4.02,0.78,4.02
"36",134.836805555556,0.78,4.39,0.78,4.39,0.78,4.39
"37",134.840277777778,0.84,4.01,0.84,4.01,0.84,4.01
"38",134.84375,0.69,3.07,0.69,3.07,0.69,3.07
"39",134.847222222222,0.64,2.81,0.64,2.81,0.64,2.81
"40",134.850694444444,0.81,3.1,0.81,3.1,0.81,3.1
"41",134.854166666667,0.77,3.96,0.77,3.96,0.77,3.96
"42",134.857638888889,0.9,3.75,0.9,3.75,0.9,3.75
"43",134.861111111111,0.78,4.54,0.78,4.54,0.78,4.54
"44",134.864583333333,0.74,3.96,0.74,3.96,0.74,3.96
"45",134.868055555556,0.71,3.35,0.71,3.35,0.71,3.35
"46",134.871527777778,0.78,3.63,0.78,3.63,0.78,3.63
"47",134.875,0.74,3.52,0.74,3.52,0.74,3.52
"48",134.878472222222,0.68,4.21,0.68,4.21,0.68,4.21
"49",134.881944444444,0.84,3.41,0.84,3.41,0.84,3.41
"50",134.885416666667,0.77,3.46,0.77,3.46,0.77,3.46
