[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Sample Name	Sample ID	Result(IC)	Result(NPOC)	Unit	Vial	Date / Time	
Unknown	MQ		0.000		mg/L	1	5/27/2025 12:54:38 PM	
Unknown	MQ		0.00957		mg/L	2	5/27/2025 1:05:34 PM	
Unknown	MQ		0.02208		mg/L	3	5/27/2025 1:13:34 PM	
Standard	IC 10 Cal		50.00		mg/L	4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6	5/27/2025 2:52:23 PM	
Unknown	2ppm check DIC		2.257		mg/L	5	5/27/2025 3:00:46 PM	
Unknown	10ppm DIC ICV		9.458		mg/L	7	5/27/2025 3:08:55 PM	
Unknown	20ppm DIC ICV		18.54		mg/L	8	5/27/2025 3:17:08 PM	
Unknown	blank		0.1106		mg/L	4	5/27/2025 3:27:38 PM	
Unknown	290821		42.32		mg/L	9	5/27/2025 3:36:08 PM	
Unknown	290861		44.82		mg/L	10	5/27/2025 3:44:52 PM	
Unknown	290871		45.78		mg/L	11	5/27/2025 3:53:14 PM	
Unknown	290831		45.74		mg/L	12	5/27/2025 4:01:48 PM	
Unknown	290881		45.76		mg/L	13	5/27/2025 4:10:05 PM	
Unknown	290841		46.67		mg/L	14	5/27/2025 4:18:41 PM	
Unknown	290851		47.95		mg/L	15	5/27/2025 4:27:19 PM	
Unknown	290891		44.60		mg/L	16	5/27/2025 4:35:34 PM	
Unknown	290931		44.55		mg/L	17	5/27/2025 4:44:15 PM	
Unknown	290951		44.80		mg/L	18	5/27/2025 4:52:58 PM	
Unknown	290951 dup		44.76		mg/L	18	5/27/2025 4:59:48 PM	
Unknown	blank		0.08323		mg/L	19	5/27/2025 5:07:54 PM	
Unknown	blank		0.08268		mg/L	19	5/27/2025 5:14:13 PM	
Unknown	2ppm check DIC		2.100		mg/L	20	5/27/2025 5:24:33 PM	
Unknown	20ppm DIC ICV		19.04		mg/L	8	5/27/2025 5:32:50 PM	
Unknown	290941		45.48		mg/L	21	5/27/2025 5:41:16 PM	
Unknown	290901		45.99		mg/L	22	5/27/2025 5:49:37 PM	
Unknown	290911		46.87		mg/L	23	5/27/2025 5:57:51 PM	
Unknown	290921		47.45		mg/L	24	5/27/2025 6:06:06 PM	
Unknown	290801		32.76		mg/L	25	5/27/2025 6:14:19 PM	
Unknown	290751		32.81		mg/L	26	5/27/2025 6:22:31 PM	
