[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Sample Name	Sample ID	Result(IC)	Result(NPOC)	Unit	Vial	Date / Time	
Unknown	MQ		0.1778		mg/L	1	6/20/2025 12:21:11 PM	
Unknown	MQ		0.1734		mg/L	2	6/20/2025 12:31:29 PM	
Unknown	MQ		0.00548		mg/L	3	6/20/2025 12:39:32 PM	
Standard	IC 10 Cal		50.00		mg/L	4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6	6/20/2025 2:15:47 PM	
Unknown	2ppm check DIC		2.230		mg/L	5	6/20/2025 2:24:11 PM	
Unknown	10ppm DIC ICV		9.365		mg/L	7	6/20/2025 2:32:18 PM	
Unknown	20ppm DIC ICV		18.64		mg/L	8	6/20/2025 2:40:32 PM	
Unknown	blank		0.06395		mg/L	4	6/20/2025 2:48:53 PM	
Unknown	T25WEEK5META		0.5739		mg/L	9	6/20/2025 2:59:29 PM	
Unknown	T25WEEK2HYPO		2.060		mg/L	10	6/20/2025 3:07:29 PM	
Unknown	L25WEEK3META		1.539		mg/L	11	6/20/2025 3:15:34 PM	
Unknown	R25WEEK3PML		1.546		mg/L	12	6/20/2025 3:23:39 PM	
Unknown	L25WEEK2PML		1.623		mg/L	13	6/20/2025 3:31:44 PM	
Unknown	L25WEEK3PML		1.497		mg/L	14	6/20/2025 3:39:52 PM	
Unknown	L25WEEK2HYPO		2.692		mg/L	15	6/20/2025 3:47:57 PM	
Unknown	R25WEEK2META		1.811		mg/L	16	6/20/2025 3:58:17 PM	
Unknown	T25WEEK2META		1.088		mg/L	17	6/20/2025 4:06:22 PM	
Unknown	R25WEEK3HYPO		4.589		mg/L	18	6/20/2025 4:14:27 PM	
Unknown	R25WEEK3HYPO dup		4.543		mg/L	18	6/20/2025 4:22:55 PM	
Unknown	blank		0.06878		mg/L	19	6/20/2025 4:33:24 PM	
Unknown	blank		0.02392		mg/L	19	6/20/2025 4:41:58 PM	
Unknown	2ppm check DIC		2.159		mg/L	20	6/20/2025 4:50:24 PM	
Unknown	20ppm DIC ICV		19.23		mg/L	8	6/20/2025 4:58:51 PM	
Unknown	R25WEEK2HYPO		3.729		mg/L	21	6/20/2025 5:07:05 PM	
Unknown	L25WEEK4PML		1.291		mg/L	22	6/20/2025 5:15:10 PM	
Unknown	R25WEEK3META		1.587		mg/L	23	6/20/2025 5:23:16 PM	
Unknown	L25WEEK3HYPO		2.628		mg/L	24	6/20/2025 5:33:41 PM	
Unknown	L25WEEK2META		1.559		mg/L	25	6/20/2025 5:42:07 PM	
Unknown	T25WEEK3PML		0.8366		mg/L	26	6/20/2025 5:52:19 PM	
Unknown	R25WEEK2PML		1.652		mg/L	27	6/20/2025 6:02:42 PM	
Unknown	T25WEEK3HYPO		2.404		mg/L	28	6/20/2025 6:10:43 PM	
Unknown	R25WEEK5META		1.388		mg/L	29	6/20/2025 6:19:17 PM	
Unknown	T25WEEK2PML		1.108		mg/L	30	6/20/2025 6:27:55 PM	
Unknown	T25WEEK2PML dup		1.109		mg/L	30	6/20/2025 6:34:14 PM	
Unknown	blank		0.07418		mg/L	31	6/20/2025 6:44:32 PM	
Unknown	blank		0.07751		mg/L	31	6/20/2025 6:51:06 PM	
Unknown	2ppm check DIC		2.337		mg/L	20	6/20/2025 6:59:24 PM	
