[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Sample Name	Sample ID	Result(IC)	Result(NPOC)	Unit	Vial	Date / Time	
Unknown	MQ		0.07116		mg/L	1	7/14/2025 12:16:39 PM	
Unknown	MQ		0.01134		mg/L	2	7/14/2025 12:26:47 PM	
Unknown	MQ		0.04464		mg/L	3	7/14/2025 12:36:55 PM	
Standard	IC 10 Cal		50.00		mg/L	4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6	7/14/2025 2:10:26 PM	
Unknown	2ppm check DIC		2.319		mg/L	5	7/14/2025 2:18:47 PM	
Unknown	10ppm DIC ICV		9.957		mg/L	7	7/14/2025 2:27:11 PM	
Unknown	20ppm DIC ICV		19.08		mg/L	8	7/14/2025 2:35:45 PM	
Unknown	blank		0.07339		mg/L	4	7/14/2025 2:46:43 PM	
Unknown	6/30 Blank		0.3753		mg/L	9	7/14/2025 2:54:45 PM	
Unknown	6/16/25 Blank		0.5084		mg/L	10	7/14/2025 3:05:21 PM	
Unknown	6/23/25 Blank		0.5018		mg/L	11	7/14/2025 3:15:29 PM	
Unknown	R25WEEK7PML		1.607		mg/L	12	7/14/2025 3:23:53 PM	
Unknown	T25WEEK7HYPO		2.254		mg/L	13	7/14/2025 3:32:20 PM	
Unknown	T25WEEK7PML		0.7231		mg/L	14	7/14/2025 3:42:36 PM	
Unknown	R25WEEK7HYPO		4.625		mg/L	15	7/14/2025 3:50:36 PM	
Unknown	L25WEEK7PML		1.459		mg/L	16	7/14/2025 3:58:51 PM	
Unknown	T25WEEK7META		0.9228		mg/L	17	7/14/2025 4:06:56 PM	
Unknown	L25WEEK7HYPO		3.476		mg/L	18	7/14/2025 4:15:20 PM	
Unknown	L25WEEK7HYPO dup		3.506		mg/L	18	7/14/2025 4:21:56 PM	
Unknown	blank		0.01292		mg/L	19	7/14/2025 4:32:25 PM	
Unknown	blank		0.01798		mg/L	19	7/14/2025 4:38:47 PM	
Unknown	2ppm check DIC		2.064		mg/L	20	7/14/2025 4:49:01 PM	
Unknown	20ppm DIC ICV		19.69		mg/L	8	7/14/2025 4:57:15 PM	
Unknown	T25WEEK6HYPO		2.255		mg/L	21	7/14/2025 5:05:28 PM	
