[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Sample Name	Sample ID	Result(IC)	Result(NPOC)	Unit	Vial	Date / Time	
Unknown	MQ		0.01744		mg/L	1	8/27/2025 2:35:39 PM	
Unknown	MQ		0.05308		mg/L	2	8/27/2025 2:46:06 PM	
Unknown	MQ		0.08351		mg/L	3	8/27/2025 2:56:17 PM	
Standard	IC 10 Cal		50.00		mg/L	4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6	8/27/2025 4:31:19 PM	
Unknown	2ppm check DIC		2.442		mg/L	5	8/27/2025 4:39:42 PM	
Unknown	10ppm DIC ICV		9.923		mg/L	7	8/27/2025 4:47:48 PM	
Unknown	20ppm DIC ICV		19.63		mg/L	8	8/27/2025 4:56:00 PM	
Unknown	blank		0.08876		mg/L	4	8/27/2025 5:04:40 PM	
Unknown	L25WEEK10HYPO		3.963		mg/L	9	8/27/2025 5:12:48 PM	
Unknown	L25WEEK12META		1.746		mg/L	10	8/27/2025 5:20:54 PM	
Unknown	L25WEEK13HYPO		2.602		mg/L	11	8/27/2025 5:29:00 PM	
Unknown	T25WEEK12PML		0.8443		mg/L	12	8/27/2025 5:37:06 PM	
Unknown	7/28/2025 Blank		0.4769		mg/L	13	8/27/2025 5:45:12 PM	
Unknown	8/11/2025 Blank		0.4133		mg/L	14	8/27/2025 5:53:17 PM	
Unknown	L25WEEK10PML		1.659		mg/L	15	8/27/2025 6:01:22 PM	
Unknown	T25WEEK10HYPO		2.358		mg/L	16	8/27/2025 6:09:56 PM	
Unknown	L25WEEK13META		1.619		mg/L	17	8/27/2025 6:18:02 PM	
Unknown	R25WEEK12META		1.629		mg/L	18	8/27/2025 6:28:33 PM	
Unknown	R25WEEK12META dup		1.624		mg/L	18	8/27/2025 6:34:53 PM	
Unknown	blank		0.1221		mg/L	19	8/27/2025 6:45:35 PM	
Unknown	blank		0.1082		mg/L	19	8/27/2025 6:51:57 PM	
Unknown	2ppm check DIC		2.291		mg/L	20	8/27/2025 7:00:04 PM	
Unknown	20ppm DIC ICV		20.37		mg/L	8	8/27/2025 7:08:20 PM	
Unknown	R25WEEK10PML		1.751		mg/L	21	8/27/2025 7:16:34 PM	
Unknown	L25WEEK11PML		1.528		mg/L	22	8/27/2025 7:24:51 PM	
Unknown	T25WEEK11META		1.002		mg/L	23	8/27/2025 7:32:57 PM	
Unknown	R25WEEK13META		1.739		mg/L	24	8/27/2025 7:43:27 PM	
Unknown	L25WEEK11META		1.772		mg/L	25	8/27/2025 7:53:38 PM	
Unknown	L25WEEK12PML		1.576		mg/L	26	8/27/2025 8:03:51 PM	
Unknown	L25WEEK10META		1.805		mg/L	27	8/27/2025 8:11:52 PM	
Unknown	T25WEEK12META		1.005		mg/L	28	8/27/2025 8:19:58 PM	
Unknown	T25WEEK12HYPO		2.526		mg/L	29	8/27/2025 8:28:16 PM	
Unknown	R25WEEK12HYPO		4.860		mg/L	30	8/27/2025 8:36:28 PM	
Unknown	R25WEEK12HYPO dup		4.890		mg/L	30	8/27/2025 8:43:27 PM	
Unknown	blank		0.1631		mg/L	31	8/27/2025 8:53:58 PM	
Unknown	blank		0.1918		mg/L	31	8/27/2025 9:02:28 PM	
Unknown	2ppm check DIC		2.450		mg/L	20	8/27/2025 9:10:45 PM	
Unknown	20ppm DIC ICV		21.57		mg/L	8	8/27/2025 9:19:05 PM	
Unknown	R25WEEK11HYPO		4.667		mg/L	32	8/27/2025 9:27:25 PM	
Unknown	L25WEEK11HYPO		3.468		mg/L	33	8/27/2025 9:35:56 PM	
Unknown	T25WEEK10META		1.053		mg/L	34	8/27/2025 9:44:03 PM	
Unknown	R25WEEK10HYPO		3.327		mg/L	35	8/27/2025 9:52:23 PM	
Unknown	T25WEEK11HYPO		2.936		mg/L	36	8/27/2025 10:00:30 PM	
Unknown	7/21/25 Blank		0.5256		mg/L	37	8/27/2025 10:10:54 PM	
Unknown	R25WEEK12PML		1.435		mg/L	38	8/27/2025 10:19:27 PM	
Unknown	T25WEEK10PML		1.052		mg/L	39	8/27/2025 10:27:33 PM	
Unknown	R25WEEK11META		1.892		mg/L	40	8/27/2025 10:38:37 PM	
Unknown	L25WEEK12HYPO		4.129		mg/L	41	8/27/2025 10:46:39 PM	
Unknown	L25WEEK12HYPO dup		4.159		mg/L	41	8/27/2025 10:52:58 PM	
Unknown	blank		0.1206		mg/L	42	8/27/2025 11:03:20 PM	
Unknown	blank		0.1780		mg/L	42	8/27/2025 11:09:50 PM	
Unknown	2ppm check DIC		2.418		mg/L	55	8/27/2025 11:18:18 PM	
Unknown	20ppm DIC ICV		21.59		mg/L	43	8/27/2025 11:26:32 PM	
Unknown	L25WEEK13PML		1.425		mg/L	44	8/27/2025 11:34:38 PM	
Unknown	R25WEEK14META		1.702		mg/L	45	8/27/2025 11:44:54 PM	
Unknown	R25WEEK13PML		1.453		mg/L	46	8/27/2025 11:53:24 PM	
Unknown	T25WEEK14PML		0.6645		mg/L	47	8/28/2025 12:03:39 AM	
Unknown	T25WEEK13HYPO		2.315		mg/L	48	8/28/2025 12:13:49 AM	
Unknown	8/14/2025 Blank		0.3178		mg/L	49	8/28/2025 12:24:43 AM	
Unknown	T25WEEK11PML		0.9113		mg/L	50	8/28/2025 12:32:57 AM	
Unknown	R25WEEK11PML		1.594		mg/L	51	8/28/2025 12:41:38 AM	
Unknown	R25WEEK10META		1.777		mg/L	52	8/28/2025 12:51:58 AM	
Unknown	R25WEEK14HYPO 		5.404		mg/L	53	8/28/2025 1:00:00 AM	
Unknown	R25WEEK14HYPO dup		5.420		mg/L	53	8/28/2025 1:06:20 AM	
Unknown	blank		0.1794		mg/L	54	8/28/2025 1:14:27 AM	
Unknown	blank		0.1725		mg/L	54	8/28/2025 1:20:46 AM	
Unknown	2ppm check DIC		2.531		mg/L	55	8/28/2025 1:31:24 AM	
Unknown	20ppm DIC ICV		22.29		mg/L	43	8/28/2025 1:39:34 AM	
Unknown	T25WEEK14HYPO		2.704		mg/L	70	8/28/2025 1:47:46 AM	
Unknown	T25WEEK13META		0.8262		mg/L	71	8/28/2025 1:58:31 AM	
Unknown	R25WEEK13HYPO		3.871		mg/L	72	8/28/2025 2:06:34 AM	
Unknown	R25WEEK14PML		1.372		mg/L	73	8/28/2025 2:17:23 AM	
Unknown	L25WEEK14HYPO		2.863		mg/L	74	8/28/2025 2:25:47 AM	
Unknown	L25WEEK14META		1.526		mg/L	75	8/28/2025 2:34:16 AM	
Unknown	Blank 8/4/2025		0.3773		mg/L	76	8/28/2025 2:44:33 AM	
Unknown	T25WEEK13PML		0.8425		mg/L	77	8/28/2025 2:54:45 AM	
Unknown	L25WEEK14PML		1.361		mg/L	78	8/28/2025 3:02:49 AM	
Unknown	T25WEEK14META		1.002		mg/L	79	8/28/2025 3:13:50 AM	
Unknown	T25WEEK14META dup		1.025		mg/L	79	8/28/2025 3:22:20 AM	
Unknown	blank		0.2165		mg/L	19	8/28/2025 3:30:44 AM	
Unknown	blank		0.2400		mg/L	31	8/28/2025 3:41:04 AM	
Unknown	2ppm check DIC		2.762		mg/L	55	8/28/2025 3:49:22 AM	
Unknown	20ppm DIC ICV		24.08		mg/L	43	8/28/2025 3:58:45 AM	
Unknown	blank			0.1014	mg/L	56	8/28/2025 4:12:07 AM	
Unknown	blank			0.04834	mg/L	56	8/28/2025 4:21:18 AM	
Standard	OC Cal	OC standards		50.00	mg/L	57, 58, 58, 58, 59, 59, 59, 59, 59, 59	8/28/2025 6:10:38 AM	
Unknown	2ppm check DOC			2.021	mg/L	58	8/28/2025 6:22:01 AM	
Unknown	5ppm DOC ICV			4.965	mg/L	60	8/28/2025 6:33:31 AM	
Unknown	20ppm DOC ICV			19.96	mg/L	61	8/28/2025 6:45:25 AM	
Unknown	blank			0.1105	mg/L	57	8/28/2025 6:58:25 AM	
Unknown	L25WEEK10HYPO			4.761	mg/L	9	8/28/2025 7:09:29 AM	
Unknown	L25WEEK12META			3.945	mg/L	10	8/28/2025 7:23:04 AM	
Unknown	L25WEEK13HYPO			3.695	mg/L	11	8/28/2025 7:33:41 AM	
Unknown	T25WEEK12PML			7.989	mg/L	12	8/28/2025 7:45:01 AM	
Unknown	7/28/2025 Blank			0.5049	mg/L	13	8/28/2025 7:57:32 AM	
Unknown	8/11/2025 Blank			1.239	mg/L	14	8/28/2025 8:10:02 AM	
Unknown	L25WEEK10PML			4.768	mg/L	15	8/28/2025 8:20:52 AM	
