Sample.Name,inorganic_carbon,organic_carbon,Lake,Depth,Date,comments
T24-8-7-Hypo,3.18,7.989,T,Hypo,24-8-7,
T24-8-7-Meta,1.39,8.646,T,Meta,24-8-7,
T24-8-7-PML,1.021,8.294,T,PML,24-8-7,
L24-8-6-Hypo,3.542,4.372,L,Hypo,24-8-6,
L24-8-6-Meta,1.65,3.699,L,Meta,24-8-6,
L24-8-6-PML,1.6015,4.054,L,PML,24-8-6,
R24-8-5-Hypo,4.454,4.636,R,Hypo,24-8-5,
R24-8-5-Meta,2.066,4.816,R,Meta,24-8-5,
R24-8-5-PML,1.177,6.478,R,PML,24-8-5,
T24-8-21-Hypo,3.206,8.036,T,Hypo,24-8-21,
T24-8-21-Meta,1.64,8.213,T,Meta,24-8-21,
T24-8-21-PML,0.641,8.603,T,PML,24-8-21,
L24-8-20-Hypo,4.881,4.311,L,Hypo,24-8-20,
L24-8-20-Meta,1.432,3.832,L,Meta,24-8-20,
L24-8-20-PML,1.22,3.971,L,PML,24-8-20,
R24-8-19-Hypo,5.854,5.0425,R,Hypo,24-8-19,
R24-8-19-Meta,2.227,4.848,R,Meta,24-8-19,
R24-8-19-PML,1.119,5.8985,R,PML,24-8-19,
T24-8-14-Hypo,3.269,7.904,T,Hypo,24-8-14,
T24-8-14-Meta,1.326,8.362,T,Meta,24-8-14,
T24-8-14-PML,0.7749,9.197,T,PML,24-8-14,
L24-8-13-Hypo,3.504,4.033,L,Hypo,24-8-13,
L24-8-13-Meta,1.476,3.95,L,Meta,24-8-13,
L24-8-13-PML,1.3505,4.1,L,PML,24-8-13,
R24-8-12-Hypo,4.525,4.8,R,Hypo,24-8-12,
R24-8-12-Meta,2.405,4.414,R,Meta,24-8-12,
R24-8-12-PML,1.637,6.029,R,PML,24-8-12,
L24-7-9-Hypo,3.318,3.393,L,Hypo,24-7-9,
L24-7-9-Meta,1.401,3.572,L,Meta,24-7-9,
L24-7-9-PML,1.331,3.9165,L,PML,24-7-9,
R24-7-8-Hypo,4.895,4.634,R,Hypo,24-7-8,
R24-7-8-Meta,2.064,4.312,R,Meta,24-7-8,
R24-7-8-PML,1.269,5.221,R,PML,24-7-8,
T24-7-31-Hypo,3.044,8.126,T,Hypo,24-7-31,
T24-7-31-Meta,1.445,8.743,T,Meta,24-7-31,
T24-7-31-PML,0.9429,8.203,T,PML,24-7-31,
L24-7-30-Hypo,3.357,3.71,L,Hypo,24-7-30,
L24-7-30-Meta,1.58,3.749,L,Meta,24-7-30,
L24-7-30-PML,1.341,4.209,L,PML,24-7-30,
T24-7-3-Hypo,2.56,7.352,T,Hypo,24-7-3,
T24-7-3-Meta,1.37,8.075,T,Meta,24-7-3,
T24-7-3-PML,1.177,7.87,T,PML,24-7-3,
R24-7-29-Hypo,5.682,5.012,R,Hypo,24-7-29,
R24-7-29-Meta,1.966,4.645,R,Meta,24-7-29,
R24-7-29-PML,0.9122,6.379,R,PML,24-7-29,
T24-7-24-Hypo,2.4,7.318,T,Hypo,24-7-24,
T24-7-24-Meta,1.28,8.448,T,Meta,24-7-24,
T24-7-24-PML,0.696,7.982,T,PML,24-7-24,
L24-7-23-Hypo,2.873,3.545,L,Hypo,24-7-23,
L24-7-23-Meta,1.456,3.422,L,Meta,24-7-23,
L24-7-23-PML,1.331,4.006,L,PML,24-7-23,
R24-7-22-Hypo,5.659,4.751,R,Hypo,24-7-22,
R24-7-22-Meta,1.97,4.508,R,Meta,24-7-22,
R24-7-22-PML,0.81455,6.018,R,PML,24-7-22,
L24-7-2-Hypo,2.511,3.313,L,Hypo,24-7-2,
L24-7-2-Meta,1.517,3.292,L,Meta,24-7-2,
L24-7-2-PML,1.483,3.733,L,PML,24-7-2,
T24-7-17-Hypo,2.79,7.409,T,Hypo,24-7-17,
T24-7-17-Meta,1.224,8.019,T,Meta,24-7-17,
T24-7-17-PML,0.8621,7.607,T,PML,24-7-17,
L24-7-16-Hypo,3.63,3.712,L,Hypo,24-7-16,
L24-7-16-Meta,1.489,3.605,L,Meta,24-7-16,
L24-7-16-PML,1.475,3.991,L,PML,24-7-16,
R24-7-15-Hypo,4.534,4.677,R,Hypo,24-7-15,IC manually switched with R24-7-15-Meta
R24-7-15-Meta,1.735,4.683,R,Meta,24-7-15,IC manually switched with R24-7-15-Hypo
R24-7-15-PML,0.829,6.348,R,PML,24-7-15,
T24-7-10-Hypo,3.267,7.548,T,Hypo,24-7-10,
T24-7-10-Meta,1.337,8.204,T,Meta,24-7-10,
T24-7-10-PML,0.6971,7.706,T,PML,24-7-10,
R24-7-1-Hypo,5.054,4.803,R,Hypo,24-7-1,
R24-7-1-Meta,2.016,4.454,R,Meta,24-7-1,
R24-7-1-PML,1.531,5.099,R,PML,24-7-1,
T24-6-5-HYPO,2.07,8.029,T,Hypo,24-6-5,outside of holding time
T24-6-5-META,1.451,8.085,T,Meta,24-6-5,outside of holding time
T24-6-5-PML,1.444,NA,T,PML,24-6-5,outside of holding time
L24-6-4-HYPO,2.9,4.85,L,Hypo,24-6-4,outside of holding time
L24-6-4-META,2.063,NA,L,Meta,24-6-4,outside of holding time
L24-6-4-PML,1.947,3.576,L,PML,24-6-4,outside of holding time
R24-6-3-HYPO,3.502,5.062,R,Hypo,24-6-3,outside of holding time
R24-6-3-META,2.174,4.541,R,Meta,24-6-3,outside of holding time
R24-6-3-PML,2.074,NA,R,PML,24-6-3,outside of holding time
T24-6-26-Hypo,2.504,7.631,T,Hypo,24-6-26,
T24-6-26-Meta,1.3895,8.14,T,Meta,24-6-26,
T24-6-26-PML,1.123,7.761,T,PML,24-6-26,
L24-6-25-Hypo,2.938,3.984,L,Hypo,24-6-25,
L24-6-25-Meta,1.675,3.514,L,Meta,24-6-25,
L24-6-25-PML,1.74,3.831,L,PML,24-6-25,
R24-6-24-Hypo,4.432,5.046,R,Hypo,24-6-24,
R24-6-24-Meta,2.032,4.6775,R,Meta,24-6-24,
R24-6-24-PML,1.67,NA,R,PML,24-6-24,
T24-6-19-HYPO,2.008,7.89,T,Hypo,24-6-19,outside of holding time
T24-6-19-PML,1.496,NA,T,PML,24-6-19,outside of holding time
L24-6-18-HYPO,3.156,3.812,L,Hypo,24-6-18,outside of holding time
T24-6-18-META,2.067,3.562,L,Meta,24-6-18,outside of holding time
T24-6-18-PML,1.896,3.9235,L,PML,24-6-18,outside of holding time
R24-6-17-HYPO,3.7105,NA,R,Hypo,24-6-17,outside of holding time
R24-6-17-META,2.166,4.662,R,Meta,24-6-17,outside of holding time
R24-6-17-PML,1.924,NA,R,PML,24-6-17,outside of holding time
T24-6-12-HYPO,2.676,8.001,T,Hypo,24-6-12,
T24-6-12-META,1.064,8.19,T,Meta,24-6-12,
T24-6-12-PML,1.132,7.903,T,PML,24-6-12,
L24-6-11-HYPO,2.226,3.613,L,Hypo,24-6-11,
L24-6-11-META,1.464,3.793,L,Meta,24-6-11,
L24-6-11-PML,1.422,4,L,PML,24-6-11,
R24-6-10-HYPO,5.075,5.068,R,Hypo,24-6-10,
R24-6-10-META,1.67,5.028,R,Meta,24-6-10,
R24-6-10-PML,1.603,5.032,R,PML,24-6-10,
