Lake,Year,DOY,Manual_Chl
L,2024,148,2.420690492
L,2024,149,3.618531554
L,2024,150,3.268530209
L,2024,151,2.630575677
L,2024,152,2.258271925
L,2024,153,2.799039122
L,2024,154,2.375383939
L,2024,155,2.708890941
L,2024,156,2.489485268
L,2024,157,3.841095052
L,2024,158,3.696203412
L,2024,159,3.51174102
L,2024,160,3.263200129
L,2024,161,3.819926223
L,2024,162,2.732325185
L,2024,163,2.720008189
L,2024,164,2.547720007
L,2024,165,3.537049759
L,2024,166,3.012629767
L,2024,167,3.493406136
L,2024,168,4.294649007
L,2024,169,4.601556105
L,2024,170,3.413724833
L,2024,171,4.826836011
L,2024,172,4.962661639
L,2024,173,5.969815208
L,2024,174,6.466735921
L,2024,175,4.921910294
L,2024,176,4.392957731
L,2024,177,6.045208591
L,2024,178,5.088623745
L,2024,179,4.11414369
L,2024,180,4.031669362
L,2024,181,3.763409264
L,2024,182,5.026019246
L,2024,183,5.162981063
L,2024,184,5.012446782
L,2024,185,5.618109142
L,2024,186,4.157735075
L,2024,187,6.744974466
L,2024,188,4.812271014
L,2024,189,3.698230271
L,2024,190,5.431681708
L,2024,191,4.817150101
L,2024,192,4.266546373
L,2024,193,4.641551732
L,2024,194,3.842434102
L,2024,195,3.970200182
L,2024,196,4.587416853
L,2024,197,4.33611428
L,2024,198,5.123229217
L,2024,199,5.4915846
L,2024,200,6.146221534
L,2024,201,5.235441249
L,2024,202,5.629929871
L,2024,203,4.101115379
L,2024,204,4.156056474
L,2024,205,4.59858634
L,2024,206,6.798166438
L,2024,207,3.381374328
L,2024,208,0.958852002
L,2024,209,3.120599152
L,2024,210,3.534950638
L,2024,211,3.237467386
L,2024,212,3.655016745
L,2024,213,3.244794723
L,2024,214,5.015322518
L,2024,215,3.075492848
L,2024,216,3.238768998
L,2024,217,5.511346469
L,2024,218,4.752491753
L,2024,219,5.713508175
L,2024,220,5.585266724
L,2024,221,6.412019453
L,2024,222,5.926660886
L,2024,223,6.411688608
L,2024,224,5.992427563
L,2024,225,7.102329267
L,2024,226,4.943519669
L,2024,227,3.832531401
L,2024,228,4.544933798
L,2024,229,6.558410341
L,2024,230,10.42647967
L,2024,231,4.945255732
L,2024,232,6.73281767
L,2024,233,5.51892281
L,2024,234,5.566895273
L,2024,235,5.385366079
L,2024,236,5.462853361
L,2024,237,5.460502623
L,2024,238,5.245375292
L,2024,239,5.256711072
R,2024,148,2.433824151
R,2024,149,5.430016166
R,2024,150,4.397346646
R,2024,151,3.741852128
R,2024,152,4.090792158
R,2024,153,5.562098897
R,2024,154,5.382104648
R,2024,155,3.603093301
R,2024,156,3.612901972
R,2024,157,4.415462127
R,2024,158,7.177377876
R,2024,159,7.148959198
R,2024,160,5.596068799
R,2024,161,6.713251696
R,2024,162,5.582101934
R,2024,163,12.24573043
R,2024,164,10.15750391
R,2024,165,33.12424577
R,2024,166,20.16027529
R,2024,167,21.47442476
R,2024,168,21.89668691
R,2024,169,23.15781419
R,2024,170,26.26017858
R,2024,171,30.75386717
R,2024,172,15.10565192
R,2024,173,16.29994162
R,2024,174,11.76790119
R,2024,175,9.586419157
R,2024,176,14.14399731
R,2024,177,47.79311146
R,2024,178,16.72715338
R,2024,179,14.85796861
R,2024,180,12.67269667
R,2024,181,6.73779688
R,2024,182,6.564880964
R,2024,183,5.344029662
R,2024,184,10.61806828
R,2024,185,5.50140459
R,2024,186,5.623558501
R,2024,187,10.60205889
R,2024,188,8.420773625
R,2024,189,9.185181305
R,2024,190,32.16932386
R,2024,191,13.46250102
R,2024,192,21.25913723
R,2024,193,9.909901568
R,2024,194,23.09247761
R,2024,195,28.21303221
R,2024,196,38.27358037
R,2024,197,36.85273613
R,2024,198,45.99914942
R,2024,199,40.93069762
R,2024,200,41.8165775
R,2024,201,54.20783861
R,2024,202,83.85656214
R,2024,203,52.05961256
R,2024,204,55.17242468
R,2024,205,53.65439311
R,2024,206,39.67636136
R,2024,207,40.79731502
R,2024,208,42.4813139
R,2024,209,42.62923625
R,2024,210,27.75925276
R,2024,211,25.24518225
R,2024,212,30.30732973
R,2024,213,38.33783387
R,2024,214,43.8975028
R,2024,215,52.78329153
R,2024,216,58.1994784
R,2024,217,68.34047403
R,2024,218,60.78729241
R,2024,219,57.22670828
R,2024,220,48.45514799
R,2024,221,23.44982806
R,2024,222,11.35480169
R,2024,223,2.745645161
R,2024,224,2.743210842
R,2024,225,3.246906904
R,2024,226,4.781047122
R,2024,227,6.62480127
R,2024,228,7.619741449
R,2024,229,14.57395595
R,2024,230,27.9325979
R,2024,231,14.24938872
R,2024,232,13.43168024
R,2024,233,11.529411
R,2024,234,13.86804682
R,2024,235,14.20916499
R,2024,236,17.5526106
R,2024,237,14.80120264
R,2024,238,14.31782131
R,2024,239,12.68449389
T,2024,148,9.829875489
T,2024,149,8.000598404
T,2024,150,8.331586634
T,2024,151,7.116819389
T,2024,152,5.91723704
T,2024,153,6.950847726
T,2024,154,5.512197958
T,2024,155,6.49051494
T,2024,156,5.286757854
T,2024,157,10.097453
T,2024,158,9.589200863
T,2024,159,10.60264135
T,2024,160,7.934365932
T,2024,161,8.901835565
T,2024,162,5.938316192
T,2024,163,9.567585394
T,2024,164,10.31992421
T,2024,165,16.36470445
T,2024,166,14.8848715
T,2024,167,14.83977216
T,2024,168,19.74907031
T,2024,169,21.55696177
T,2024,170,18.5131917
T,2024,171,24.28846507
T,2024,172,20.21108169
T,2024,173,23.67143298
T,2024,174,23.88076095
T,2024,175,17.54529719
T,2024,176,19.58060077
T,2024,177,20.29626285
T,2024,178,18.01913192
T,2024,179,18.41193584
T,2024,180,20.91399146
T,2024,181,16.9657968
T,2024,182,24.92530779
T,2024,183,16.0052157
T,2024,184,24.88769599
T,2024,185,19.20286246
T,2024,186,19.73339002
T,2024,187,29.20153311
T,2024,188,12.16419813
T,2024,189,14.79441162
T,2024,190,26.42333719
T,2024,191,23.76117021
T,2024,192,15.10910663
T,2024,193,14.88834449
T,2024,194,17.84198293
T,2024,195,16.40902021
T,2024,196,17.83959737
T,2024,197,16.4155274
T,2024,198,19.58208086
T,2024,199,23.3476145
T,2024,200,24.76180092
T,2024,201,19.32236787
T,2024,202,14.60469838
T,2024,203,14.60130287
T,2024,204,14.71796911
T,2024,205,21.70654618
T,2024,206,18.6956786
T,2024,207,39.33028053
T,2024,208,20.15522555
T,2024,209,17.26111911
T,2024,210,15.77501753
T,2024,211,18.81330255
T,2024,212,19.13818931
T,2024,213,20.58123147
T,2024,214,20.17020062
T,2024,215,22.69881087
T,2024,216,25.79124993
T,2024,217,23.18071211
T,2024,218,25.66326532
T,2024,219,24.297922
T,2024,220,19.7393191
T,2024,221,27.97212512
T,2024,222,27.64297395
T,2024,223,30.90149263
T,2024,224,34.07786173
T,2024,225,31.35657804
T,2024,226,23.39079842
T,2024,227,24.58593091
