Lake,Date,DOY,Year,Depth,IrradianceWater_uEinst_m2_s,IrradianceDeck_uEinst_m2_s,water_over_deck,Percent_surface_irradiance,,,
Peter,5/19/2025,139,2025,0,1643,1398,1.17,1,,,
Peter,5/19/2025,139,2025,0.25,1347,1420,0.949,0.811111111,,,
Peter,5/19/2025,139,2025,0.5,1091,1439,0.758,0.647863248,,,
Peter,5/19/2025,139,2025,0.75,846,1429,0.592,0.505982906,,,
Peter,5/19/2025,139,2025,1,762,1517,0.502,0.429059829,,,
Peter,5/19/2025,139,2025,1.5,519,1571,0.33,0.282051282,,,
Peter,5/19/2025,139,2025,2,345,1572,0.219,0.187179487,,,
Peter,5/19/2025,139,2025,2.5,223,1619,0.1337,0.114273504,,,
Peter,5/19/2025,139,2025,3,129,1626,0.079,0.067521368,,,
Peter,5/19/2025,139,2025,3.5,71,1612,0.044,0.037606838,,,
Peter,5/19/2025,139,2025,4,33,1629,0.02,0.017094017,,,
Peter,5/19/2025,139,2025,4.5,12,1573,0.007,0.005982906,,,
Paul,5/21/2025,141,2025,0,434,387,1.123,1,,,
Paul,5/21/2025,141,2025,0.25,327,360,0.91,0.810329475,,,
Paul,5/21/2025,141,2025,0.5,245,340,0.72,0.641139804,,,
Paul,5/21/2025,141,2025,0.75,181,333,0.54,0.480854853,,,
Paul,5/21/2025,141,2025,1,145,324,0.45,0.400712378,,,
Paul,5/21/2025,141,2025,1.5,106,346,0.31,0.276046305,,,
Paul,5/21/2025,141,2025,2,87,357,0.24,0.213713268,,,
Paul,5/21/2025,141,2025,2.5,68,352,0.19,0.169189671,,,
Paul,5/21/2025,141,2025,3,53,352,0.15,0.133570793,,,
Paul,5/21/2025,141,2025,3.5,41,351,0.12,0.106856634,,,
Paul,5/21/2025,141,2025,4,30,337,0.09,0.080142476,,,
Paul,5/21/2025,141,2025,4.5,21,339,0.06,0.053428317,,,
Paul,5/21/2025,141,2025,5,15,340,0.04,0.035618878,,,
Paul,5/21/2025,141,2025,5.5,10,331,0.03,0.026714159,,,
Paul,5/21/2025,141,2025,6,4,330,0.012,0.010685663,,,
Paul,5/21/2025,141,2025,6.5,1.5,327,0.0046,0.004096171,,,
Tuesday,5/22/2025,142,2025,0,513.7,492,1.0441,1,,,
Tuesday,5/22/2025,142,2025,0.25,361.3,468.5,0.7712,0.738626568,,,
Tuesday,5/22/2025,142,2025,0.5,244.7,478,0.5119,0.490278709,,,
Tuesday,5/22/2025,142,2025,0.75,205.5,1639,0.1254,0.120103438,,,
Tuesday,5/22/2025,142,2025,1,131.6,1567,0.08398,0.080432909,,,
Tuesday,5/22/2025,142,2025,1.5,68.1,531.4,0.12815,0.122737286,,,
Tuesday,5/22/2025,142,2025,2,41.5,548.5,0.07567,0.072473901,,,
Tuesday,5/22/2025,142,2025,2.5,28.85,599.8,0.0481,0.046068384,,,
Tuesday,5/22/2025,142,2025,3,17.31,629.7,0.02749,0.026328896,,,
Tuesday,5/22/2025,142,2025,3.5,10.38,613.6,0.01692,0.016205344,,,
Tuesday,5/22/2025,142,2025,4,4.607,642.8,0.00717,0.006867158,,,
Peter,5/26/2025,146,2025,0,1628,1356,1.200589971,1,,,
Peter,5/26/2025,146,2025,0.25,1270,1280,0.9921875,0.826416615,,,
Peter,5/26/2025,146,2025,0.5,695,1300,0.534615385,0.445293895,,,
Peter,5/26/2025,146,2025,0.75,464,1334,0.347826087,0.289712638,,,
Peter,5/26/2025,146,2025,1,364.4,1238,0.294345719,0.245167564,,,
Peter,5/26/2025,146,2025,1.5,311,1258,0.247217806,0.205913603,,,
Peter,5/26/2025,146,2025,2,192,1238,0.155088853,0.129177202,,,
Peter,5/26/2025,146,2025,2.5,121,1269,0.09535067,0.079419845,,,
Peter,5/26/2025,146,2025,3,81.77,1256,0.065103503,0.054226259,,,
Peter,5/26/2025,146,2025,3.5,50.76,1246,0.040738363,0.033931953,,,
Peter,5/26/2025,146,2025,4,21.9,1259,0.017394758,0.014488508,,,
Paul,5/27/2025,147,2025,0,622.1,653.6,0.951805386,1,,,
Paul,5/27/2025,147,2025,0.25,569,671.5,0.847356664,0.890262523,,,
Paul,5/27/2025,147,2025,0.5,421.2,656.3,0.641779674,0.674276153,,,
Paul,5/27/2025,147,2025,0.75,376.2,660.8,0.569309927,0.598136905,,,
Paul,5/27/2025,147,2025,1,302.3,672.4,0.449583581,0.472348222,,,
Paul,5/27/2025,147,2025,1.5,228.5,668.1,0.342014668,0.359332563,,,
Paul,5/27/2025,147,2025,2,175.4,669.9,0.261830124,0.275087878,,,
Paul,5/27/2025,147,2025,2.5,133.3,656.6,0.203015535,0.213295215,,,
Paul,5/27/2025,147,2025,3,99.22,659.1,0.150538613,0.158161128,,,
Paul,5/27/2025,147,2025,3.5,79.6,655.3,0.121471082,0.127621764,,,
Paul,5/27/2025,147,2025,4,61.14,669.2,0.091362821,0.095988973,,,
Paul,5/27/2025,147,2025,4.5,44.98,666.7,0.067466627,0.070882796,,,
Paul,5/27/2025,147,2025,5,28.82,663.8,0.043416692,0.045615094,,,
Paul,5/27/2025,147,2025,5.5,14.97,655,0.022854962,0.024012222,,,
Paul,5/27/2025,147,2025,6,3.428,653.2,0.00524801,0.005513742,,,
Tuesday,5/28/2025,148,2025,0,1668,1398,1.193133047,1,,,
Tuesday,5/28/2025,148,2025,0.25,1083,1256,0.862261146,0.7226865,,,
Tuesday,5/28/2025,148,2025,0.5,612.1,1119,0.547006256,0.458462078,,,
Tuesday,5/28/2025,148,2025,0.75,514.9,1147,0.448910201,0.37624488,,,
Tuesday,5/28/2025,148,2025,1,414.1,1273,0.32529458,0.272638982,,,
Tuesday,5/28/2025,148,2025,1.5,256.1,1232,0.207873377,0.174224808,,,
Tuesday,5/28/2025,148,2025,2,144.2,1296,0.111265432,0.093254841,,,
Tuesday,5/28/2025,148,2025,2.5,77.28,1293,0.059767981,0.050093308,,,
Tuesday,5/28/2025,148,2025,3,44.96,1286,0.03496112,0.029301946,,,
Tuesday,5/28/2025,148,2025,3.5,29.96,1286,0.023297045,0.019525941,,,
Tuesday,5/28/2025,148,2025,4,14.96,1249,0.011977582,0.010038765,,,
Tuesday,5/28/2025,148,2025,4.5,6.882,1249,0.005510008,0.0046181,,,
Peter,6/2/2025,153,2025,0,679.7,658.6,1.032037656,1,,,
Peter,6/2/2025,153,2025,0.25,577,684.2,0.843320666,0.817141373,,,
Peter,6/2/2025,153,2025,0.5,423.7,700.2,0.605112825,0.586328243,,,
Peter,6/2/2025,153,2025,0.75,363.7,685.7,0.530406883,0.513941406,,,
Peter,6/2/2025,153,2025,1,258.5,669.6,0.386051374,0.37406714,,,
Peter,6/2/2025,153,2025,1.5,159.3,682.8,0.233304042,0.22606156,,,
Peter,6/2/2025,153,2025,2,100.4,684.1,0.146762169,0.142206216,,,
Peter,6/2/2025,153,2025,2.5,69.23,709.2,0.097617033,0.094586697,,,
Peter,6/2/2025,153,2025,3,40.68,694.2,0.058599827,0.056780706,,,
Peter,6/2/2025,153,2025,3.5,31.14,719.8,0.043262017,0.04191903,,,
Peter,6/2/2025,153,2025,4,17.29,739.5,0.023380663,0.022654854,,,
Peter,6/2/2025,153,2025,4.5,4.59,758,0.006055409,0.00586743,,,
Peter,6/2/2025,153,2025,5,1.12,775.7,0.001443857,0.001399035,,,
Paul,6/3/2025,154,2025,0,66.9,73.09,0.915309892,1,,,
Paul,6/3/2025,154,2025,0.25,45,53.03,0.848576278,0.927091781,,,
Paul,6/3/2025,154,2025,0.5,30,47.55,0.630914826,0.689290952,,,
Paul,6/3/2025,154,2025,0.75,21.91,45.02,0.48667259,0.531702535,,,
Paul,6/3/2025,154,2025,1,16.15,46.75,0.345454545,0.377418127,,,
Paul,6/3/2025,154,2025,1.5,17.31,66.12,0.261796733,0.286019779,,,
Paul,6/3/2025,154,2025,2,11.53,62.7,0.183891547,0.200906325,,,
Paul,6/3/2025,154,2025,2.5,9.22,53.34,0.172853393,0.188846854,,,
Paul,6/3/2025,154,2025,3,8.066,55.64,0.144967649,0.158380949,,,
Paul,6/3/2025,154,2025,3.5,3.449,58.05,0.059414298,0.064911675,,,
Paul,6/3/2025,154,2025,4,2.295,65.3,0.035145482,0.038397359,,,
Paul,6/3/2025,154,2025,4.5,1.141,75.9,0.015032938,0.016423878,,,
Paul,6/3/2025,154,2025,5,1.141,83.16,0.013720539,0.014990047,,,
Paul,6/3/2025,154,2025,5.5,1.154,98.62,0.01170148,0.012784173,,,
Paul,6/3/2025,154,2025,5.75,1.154,114.7,0.010061029,0.010991937,,,
Tuesday,6/4/2025,155,2025,0,1261,1180,1.068644068,1,,,
Tuesday,6/4/2025,155,2025,0.25,1050,1107,0.948509485,0.88758223,,,
Tuesday,6/4/2025,155,2025,0.5,660,1137,0.580474934,0.543188281,,,
Tuesday,6/4/2025,155,2025,0.75,526.1,1077,0.488486537,0.457108734,,,
Tuesday,6/4/2025,155,2025,1,387.6,1068,0.362921348,0.339609192,,,
Tuesday,6/4/2025,155,2025,1.5,213.3,1125,0.1896,0.177421094,,,
Tuesday,6/4/2025,155,2025,2,124.5,1072,0.11613806,0.108677962,,,
Tuesday,6/4/2025,155,2025,2.5,65.6,1083,0.060572484,0.056681626,,,
Tuesday,6/4/2025,155,2025,3,39.06,1075,0.036334884,0.034000922,,,
Tuesday,6/4/2025,155,2025,3.5,22.91,1071,0.021391223,0.020017164,,,
Tuesday,6/4/2025,155,2025,4,11.37,1074,0.010586592,0.009906565,,,
Peter,6/9/2025,160,2025,0,245.8,237.5,1.034947368,1,,,
Peter,6/9/2025,160,2025,0.25,211.1,274,0.770437956,0.744422354,,,
Peter,6/9/2025,160,2025,0.5,150,292,0.51369863,0.496352419,,,
Peter,6/9/2025,160,2025,0.75,116.5,300.9,0.387171818,0.374098075,,,
Peter,6/9/2025,160,2025,1,107.3,305.3,0.351457583,0.339589812,,,
Peter,6/9/2025,160,2025,1.5,63.46,320,0.1983125,0.191616024,,,
Peter,6/9/2025,160,2025,2,41.52,341.3,0.121652505,0.11754463,,,
Peter,6/9/2025,160,2025,2.5,25.36,340,0.074588235,0.072069593,,,
Peter,6/9/2025,160,2025,3,19.6,361.1,0.054278593,0.052445752,,,
Peter,6/9/2025,160,2025,3.5,12.67,378.6,0.033465399,0.032335363,,,
Peter,6/9/2025,160,2025,4,4.589,394.9,0.011620663,0.011228265,,,
Peter,6/9/2025,160,2025,4.5,1.126,401,0.00280798,0.002713162,,,
Paul,6/10/2025,161,2025,0,167.4,127,1.318110236,1,,,
Paul,6/10/2025,161,2025,0.25,138.5,129.2,1.071981424,0.813271451,,,
Paul,6/10/2025,161,2025,0.5,118.9,150.8,0.788461538,0.598175719,,,
Paul,6/10/2025,161,2025,0.75,114.3,18.2,6.28021978,4.764563394,,,
Paul,6/10/2025,161,2025,1,77.32,186.6,0.414362272,0.314360864,,,
Paul,6/10/2025,161,2025,1.5,62.32,227,0.274537445,0.208281096,,,
Paul,6/10/2025,161,2025,2,55.39,239,0.231757322,0.175825448,,,
Paul,6/10/2025,161,2025,2.5,40.54,216.1,0.187598334,0.142323706,,,
Paul,6/10/2025,161,2025,3,33.46,205.4,0.162901655,0.123587277,,,
Paul,6/10/2025,161,2025,3.5,28.85,216.6,0.133194829,0.101049841,,,
Paul,6/10/2025,161,2025,4,24.23,208.6,0.116155321,0.088122615,,,
Paul,6/10/2025,161,2025,4.5,17.15,249.6,0.068709936,0.05212761,,,
Paul,6/10/2025,161,2025,5,12.69,258.1,0.04916699,0.037301121,,,
Paul,6/10/2025,161,2025,5.5,9.224,253.5,0.036386588,0.027605117,,,
Paul,6/10/2025,161,2025,6,3.49,244,0.014303279,0.010851352,,,
Paul,6/10/2025,161,2025,6.25,1.145,218.9,0.005230699,0.003968332,,,
Tuesday,6/11/2025,162,2025,0,1288,1165,1.105579399,1,,,
Tuesday,6/11/2025,162,2025,0.25,1044,1167,0.894601542,0.809169873,,,
Tuesday,6/11/2025,162,2025,0.5,615.1,1176,0.523044218,0.473095119,,,
Tuesday,6/11/2025,162,2025,0.75,485.6,1099,0.441856233,0.399660335,,,
Tuesday,6/11/2025,162,2025,1,308.6,1118,0.276028623,0.249668746,,,
Tuesday,6/11/2025,162,2025,1.5,173,1087,0.159153634,0.143954956,,,
Tuesday,6/11/2025,162,2025,2,92.22,1096,0.084142336,0.076107004,,,
Tuesday,6/11/2025,162,2025,2.5,49.52,1100,0.045018182,0.040719085,,,
Tuesday,6/11/2025,162,2025,3,27.6,1116,0.024731183,0.022369432,,,
Tuesday,6/11/2025,162,2025,3.5,16.06,1128,0.014237589,0.012877943,,,
Tuesday,6/11/2025,162,2025,4,6.826,1131,0.006035367,0.005459008,,,
Peter,6/16/2025,167,2025,0,187,188.6,0.991516437,1,,,
Peter,6/16/2025,167,2025,0.25,102.7,160.9,0.638284649,0.643745908,,,
Peter,6/16/2025,167,2025,0.5,73.9,161.1,0.458721291,0.462646179,,,
Peter,6/16/2025,167,2025,0.75,60,162.5,0.369230769,0.372389963,,,
Peter,6/16/2025,167,2025,1,63.45,176.5,0.359490085,0.362565936,,,
Peter,6/16/2025,167,2025,1.5,41.54,195.4,0.21258956,0.214408508,,,
Peter,6/16/2025,167,2025,2,25.4,215.9,0.117647059,0.118653665,,,
Peter,6/16/2025,167,2025,2.5,19.6,274.3,0.071454612,0.072065988,,,
Peter,6/16/2025,167,2025,3,13.84,293.2,0.047203274,0.047607152,,,
Peter,6/16/2025,167,2025,3.5,9.22,323.4,0.028509586,0.028753518,,,
Peter,6/16/2025,167,2025,4,2.29,315.5,0.00725832,0.007320423,,,
Paul,6/17/2025,168,2025,0,1507,1231,1.224207961,1,,,
Paul,6/17/2025,168,2025,0.25,1423,1212,1.174092409,0.959062877,,,
Paul,6/17/2025,168,2025,0.5,1149,1319,0.871114481,0.711573939,,,
Paul,6/17/2025,168,2025,0.75,975,1358,0.717967599,0.586475192,,,
Paul,6/17/2025,168,2025,1,739.3,1108,0.667238267,0.5450367,,,
Paul,6/17/2025,168,2025,1.5,543.5,1052,0.516634981,0.422015701,,,
Paul,6/17/2025,168,2025,2,372.7,1104,0.33759058,0.275762444,,,
Paul,6/17/2025,168,2025,2.5,287.3,1324,0.216993958,0.177252529,,,
Paul,6/17/2025,168,2025,3,221.5,1238,0.178917609,0.146149686,,,
Paul,6/17/2025,168,2025,3.5,163.8,1261,0.129896907,0.106106896,,,
Paul,6/17/2025,168,2025,4,130.4,1244,0.104823151,0.085625281,,,
Paul,6/17/2025,168,2025,4.5,91.86,1214,0.075667216,0.061809119,,,
Paul,6/17/2025,168,2025,5,55.3,1217,0.045439606,0.037117554,,,
Paul,6/17/2025,168,2025,5.5,36.7,1160,0.031637931,0.025843592,,,
Paul,6/17/2025,168,2025,6,16.08,1193,0.013478625,0.011010078,,,
Paul,6/17/2025,168,2025,6.5,4.54,1304,0.003481595,0.002843957,,,
Tuesday,6/18/2025,169,2025,0,1094,984.6,1.111111111,1,,,
Tuesday,6/18/2025,169,2025,0.25,684.3,984.2,0.695285511,0.62575696,,,
Tuesday,6/18/2025,169,2025,0.5,487,977.4,0.498260692,0.448434622,,,
Tuesday,6/18/2025,169,2025,0.75,358.9,977,0.367349028,0.330614125,,,
Tuesday,6/18/2025,169,2025,1,246.9,981.3,0.251605014,0.226444512,,,
Tuesday,6/18/2025,169,2025,1.5,133.8,969.3,0.138037759,0.124233983,,,
Tuesday,6/18/2025,169,2025,2,73.82,987.5,0.07475443,0.067278987,,,
Tuesday,6/18/2025,169,2025,2.5,36.89,990.1,0.037258863,0.033532976,,,
Tuesday,6/18/2025,169,2025,3,21.88,994.7,0.021996582,0.019796924,,,
Tuesday,6/18/2025,169,2025,3.5,10.34,959.2,0.010779817,0.009701835,,,
Peter,6/23/2025,174,2025,0,1568,1399,1.121,1,,,
Peter,6/23/2025,174,2025,0.25,500.1,603.4,0.829,0.739518287,,,
Peter,6/23/2025,174,2025,0.5,265.4,428.2,0.611,0.545049063,,,
Peter,6/23/2025,174,2025,0.75,196.6,434.7,0.452,0.403211418,,,
