Lake,Date,Rep,Filter_volume,Extract_time,Analysis_time,Fb,Fa,Methanol_blank,solid_standard,solid_standard_2
Peter,5/26/2025,A,200,11:49,11:53,53229.77,31249.07,379.62,230880,21980.7
Peter,5/26/2025,B,200,11:49,11:53,53730.08,31445.19,379.62,230880,22284.89
Paul,5/26/2025,A,200,11:49,11:53,27389.78,16018.5,379.62,230880,11371.28
Paul,5/26/2025,B,200,11:49,11:53,26708.94,15382.51,379.62,230880,11326.43
Tuesday,5/26/2025,A,200,11:49,11:53,128077,74769.63,379.62,230880,53307.37
Tuesday,5/26/2025,B,200,11:49,11:53,115086,67602.46,379.62,230880,47483.54
Peter,5/27/2025,A,200,11:49,12:06,52863.62,31524.29,387.69,241333,21339.33
Peter,5/27/2025,B,200,11:49,12:06,48453.18,29245.16,387.69,241333,19208.02
Paul,5/27/2025,A,200,11:49,12:06,53827.08,31473.34,387.69,241333,22353.74
Paul,5/27/2025,B,200,11:49,12:06,66497.42,38028.76,387.69,241333,28468.66
Tuesday,5/27/2025,A,200,11:49,12:06,137687,80373.77,387.69,241333,57313.23
Tuesday,5/27/2025,B,200,11:49,12:06,154442,88975.45,387.69,241333,65466.55
Peter,5/28/2025,A,200,8:47,8:45,34723,20189,417.6,232580,14534
Peter,5/28/2025,B,200,8:47,8:45,37561,21402,417.6,232580,16159
Paul,5/28/2025,A,200,8:47,8:45,28605,17234,417.6,232580,11371
Paul,5/28/2025,B,200,8:47,8:45,54327,31262,417.6,232580,23065
Tuesday,5/28/2025,A,200,8:47,8:45,140392,83612,417.6,232580,56780
Tuesday,5/28/2025,B,200,8:47,8:45,137670,81913,417.6,232580,55757
Peter,5/29/2025,A,200,8:47,8:45,48283,28379,390.78,230424,19904
Peter,5/29/2025,B,200,8:47,8:45,48555,28163,390.78,230424,20392
Paul,5/29/2025,A,200,8:47,8:45,48147,27647,390.78,230424,20500
Paul,5/29/2025,B,200,8:47,8:45,84581,47874,390.78,230424,36707
Tuesday,5/29/2025,A,200,8:47,8:45,305177,171911,390.78,230424,133266
Tuesday,5/29/2025,B,200,8:47,8:45,111656,66167,390.78,230424,45489
Peter,5/30/2025,A,200,8:47,8:45,52118,30413,390.78,230424,21705
Peter,5/30/2025,B,200,8:47,8:45,57658,34338,390.78,230424,23320
Paul,5/30/2025,A,200,8:47,8:45,49619,28430,390.78,230424,21189
Paul,5/30/2025,B,200,8:47,8:45,52668,30702,390.78,230424,21966
Tuesday,5/30/2025,A,200,8:47,8:45,210447,122508,390.78,230424,87939
Tuesday,5/30/2025,B,200,8:47,8:45,214112,123832,390.78,230424,90280
Peter,5/31/2025,A,200,8:45,8:52,47389.93,26543.82,406.6,228237.36,20846.11
Peter,5/31/2025,B,200,8:45,8:52,44907.67,31688.04,406.6,228237.36,13219.63
Paul,5/31/2025,A,200,8:45,8:52,53706.62,28547.62,406.6,228237.36,25159
Paul,5/31/2025,B,200,8:45,8:52,49500.57,28268.1,406.6,228237.36,21232.47
Tuesday,5/31/2025,A,200,8:45,8:52,170804.97,99097.04,406.6,228237.36,71707.93
Tuesday,5/31/2025,B,200,8:45,8:52,169522.09,99683.12,406.6,228237.36,69838.97
Peter,6/1/2025,A,200,8:45,8:58,46557.84,27944,406.6,228237.4,18613.84
Peter,6/1/2025,B,200,8:45,8:58,48739.99,29444.51,406.6,228237.36,19295.48
Paul,6/1/2025,A,200,8:45,8:58,48632.87,28775.46,406.6,228237.36,19857.41
Paul,6/1/2025,B,200,8:45,8:58,39933.64,23000.55,406.6,228237.36,16933.09
Tuesday,6/1/2025,A,200,8:45,8:58,179504.2,105000.58,406.6,228237.36,74503.62
Tuesday,6/1/2025,B,200,8:45,8:58,171802.75,99545.36,406.6,228237.36,72257.39
Peter,6/2/2025,A,200,8:45,9:04,46761.73,27427.35,406.6,228237.36,19334.38
Peter,6/2/2025,B,200,8:45,9:04,45425.26,26914.51,406.6,228237.36,18510.75
Paul,6/2/2025,A,200,8:45,9:04,37349.7,21855.79,406.6,228237.36,15493.91
Paul,6/2/2025,B,200,8:45,9:04,37610.7,22374.95,406.6,228237.36,15235.75
Tuesday,6/2/2025,A,200,8:45,9:04,152123.33,89215.53,406.6,228237.36,62907.8
Tuesday,6/2/2025,B,200,8:45,9:04,160473.55,95340.72,406.6,228237.36,65132.83
Peter,6/3/2025,A,200,8:45,8:45,53516.89,31038.13,445.04,234863,22478.76
Peter,6/3/2025,B,200,8:45,8:45,54835.56,31154.47,445.04,234863,23681.09
Paul,6/3/2025,A,200,8:45,8:45,50910.3,28320.2,445.04,234863,22590.1
Paul,6/3/2025,B,200,8:45,8:45,47274.19,26782.7,445.04,234863,20491.49
Tuesday,6/3/2025,A,200,8:45,8:45,421074,234546,445.04,234863,186528
Tuesday,6/3/2025,B,200,8:45,8:45,445390,248090,445.04,234863,197300
Peter,6/4/2025,A,200,8:45,8:45,46174.64,27846.56,445.04,234863,18328.08
Peter,6/4/2025,B,200,8:45,8:45,50780.12,31820.91,445.04,234863,18959.21
Paul,6/4/2025,A,200,8:45,8:45,48533.41,28743.36,445.04,234863,19790.05
Paul,6/4/2025,B,200,8:45,8:45,48621.43,29397.23,445.04,234863,19224.2
Tuesday,6/4/2025,A,200,8:45,8:45,196627,118037,445.04,234863,78590
