Lake,Date,DoY,ZoopBiomass_g_m2,ZoopBiomass_g_m3
L,5/25/2015,145,0.451434154,0.056429269
L,5/26/2015,146,0.306426317,0.03830329
L,5/27/2015,147,0.199757137,0.024969642
L,5/28/2015,148,0.305577491,0.038197186
L,5/29/2015,149,0.451292683,0.056411585
L,5/30/2015,150,0.318309886,0.039788736
L,6/1/2015,152,0.208245401,0.026030675
L,6/2/2015,153,0.238237266,0.029779658
L,6/3/2015,154,0.394704259,0.049338032
L,6/4/2015,155,0.186458858,0.023307357
L,6/5/2015,156,0.344623503,0.043077938
L,6/6/2015,157,0.217582491,0.027197811
L,6/7/2015,158,0.20937717,0.026172146
L,6/8/2015,159,0.175989999,0.02199875
L,6/9/2015,160,0.426959661,0.053369958
L,6/10/2015,161,0.458083294,0.057260412
L,6/11/2015,162,0.292562153,0.036570269
L,6/12/2015,163,0.412529612,0.051566202
L,6/13/2015,164,0.603798486,0.075474811
L,6/14/2015,165,0.421300818,0.052662602
L,6/15/2015,166,0.40149487,0.050186859
L,6/16/2015,167,0.233710192,0.029213774
L,6/17/2015,168,0.386215995,0.048276999
L,6/18/2015,169,0.613984403,0.07674805
L,6/19/2015,170,0.464025079,0.058003135
L,6/20/2015,171,0.299352764,0.037419096
L,6/21/2015,172,0.372351831,0.046543979
L,6/22/2015,173,0.489206927,0.061150866
L,6/23/2015,174,0.389894243,0.04873678
L,6/24/2015,175,0.413095497,0.051636937
L,6/25/2015,176,0.207113633,0.025889204
L,6/26/2015,177,0.239369034,0.029921129
L,6/27/2015,178,0.315197523,0.03939969
L,6/28/2015,179,0.427242603,0.053405325
L,6/29/2015,180,0.142319887,0.017789986
L,6/30/2015,181,0.467986268,0.058498284
L,7/1/2015,182,0.343774677,0.042971835
L,7/2/2015,183,0.405173117,0.05064664
L,7/3/2015,184,0.335003471,0.041875434
L,7/4/2015,185,0.317744002,0.039718
L,7/5/2015,186,0.344057619,0.043007202
L,7/6/2015,187,0.056588424,0.007073553
L,7/7/2015,188,0.448746204,0.056093275
L,7/8/2015,189,0.406304886,0.050788111
L,7/9/2015,190,0.282942121,0.035367765
L,7/10/2015,191,0.273605031,0.034200629
L,7/11/2015,192,0.422149645,0.052768706
L,7/12/2015,193,0.269643841,0.03370548
L,7/13/2015,194,0.22409016,0.02801127
L,7/14/2015,195,0.321988134,0.040248517
L,7/15/2015,196,0.287469195,0.035933649
L,7/16/2015,197,0.414227265,0.051778408
L,7/17/2015,198,0.259457925,0.032432241
L,7/18/2015,199,0.182497668,0.022812209
L,7/19/2015,200,0.273322089,0.034165261
L,7/20/2015,201,0.647371573,0.080921447
L,7/21/2015,202,0.303879838,0.03798498
L,7/22/2015,203,0.22946606,0.028683258
L,7/23/2015,204,0.230880771,0.028860096
L,7/24/2015,205,0.45355622,0.056694528
L,7/25/2015,206,0.339813487,0.042476686
L,7/26/2015,207,0.349574991,0.043696874
L,7/27/2015,208,0.22677811,0.028347264
L,7/28/2015,209,0.249554951,0.031194369
L,7/29/2015,210,0.337408479,0.04217606
L,7/30/2015,211,0.273180618,0.034147577
L,7/31/2015,212,0.163540546,0.020442568
L,8/1/2015,213,0.266672949,0.033334119
L,8/2/2015,214,0.14005635,0.017507044
L,8/3/2015,215,0.334013174,0.041751647
L,8/4/2015,216,0.504485802,0.063060725
L,8/5/2015,217,0.489206927,0.061150866
L,8/6/2015,218,0.206689219,0.025836152
L,8/7/2015,219,0.295674516,0.036959315
L,8/8/2015,220,0.400363101,0.050045388
L,8/9/2015,221,0.248706124,0.031088266
L,8/10/2015,222,0.288600963,0.03607512
L,8/11/2015,223,0.286478898,0.035809862
L,8/12/2015,224,0.450443857,0.056305482
L,8/13/2015,225,0.459639476,0.057454934
L,8/14/2015,226,0.559800987,0.069975123
L,8/15/2015,227,0.1974936,0.0246867
L,8/16/2015,228,0.586821959,0.073352745
L,8/17/2015,229,0.535609435,0.066951179
L,8/18/2015,230,0.405739002,0.050717375
L,8/19/2015,231,0.560791284,0.07009891
L,8/20/2015,232,0.294542748,0.036817844
L,8/21/2015,233,0.562205995,0.070275749
L,8/22/2015,234,0.351131172,0.043891397
L,8/23/2015,235,0.331183753,0.041397969
L,8/24/2015,236,0.359902378,0.044987797
L,8/25/2015,237,0.206547748,0.025818469
L,8/26/2015,238,0.465439789,0.058179974
L,8/27/2015,239,0.531931188,0.066491398
L,8/28/2015,240,0.20937717,0.026172146
L,8/29/2015,241,0.558527747,0.069815968
L,8/30/2015,242,0.24417905,0.030522381
L,8/31/2015,243,0.544380641,0.06804758
L,9/1/2015,244,0.249272009,0.031159001
L,9/2/2015,245,0.28944979,0.036181224
L,9/3/2015,246,0.186175916,0.023271989
R,5/25/2015,145,0.186175916,0.01551466
R,5/26/2015,146,0.181224429,0.015102036
R,5/27/2015,147,0.113742733,0.009478561
R,5/28/2015,148,0.129021607,0.010751801
R,5/29/2015,149,0.349150577,0.029095881
R,5/30/2015,150,0.178253536,0.014854461
R,6/1/2015,152,0.150949622,0.012579135
R,6/2/2015,153,0.105537411,0.008794784
